#除夕不放假#,Query time: 2023-12-17 23:12:54
很难想象现在这些所谓人民领导内部都是什么情况，说什么以人民为先，但是把人民当作升职的工具，当作所谓“增长”的零件，只会看那一个个数据，毫不关心人民真正的生活，让人民没有间歇的搬砖，只想要那一个个“漂亮指标”，仿佛忘了人民领导的初心是为人民服务，根本不听人民的呼声，高高 很难想象现在这些所谓人民领导内部都是什么情况，说什么以人民为先，但是把人民当作升职的工具，当作所谓“增长”的零件，只会看那一个个数据，毫不关心人民真正的生活，让人民没有间歇的搬砖，只想要那一个个“漂亮指标”，仿佛忘了人民领导的初心是为人民服务，根本不听人民的呼声，高高在上惯了所以听不到底下人的声音了吗？高位待久了所以根本体会不到人间疾苦，还要恶意忽视群众的声音，真的很可怕所谓“为人民当家做主”的人已经成为了这么冷漠的人，还有，国家发展不就是让人民过得更好吗？但是现在的社会情况却是每一个人都过得很疲惫，仿佛国家发展而群众反而更难过了？究竟原因在哪？保持前进脚步固然是对的，但是是否能考虑一下这个脚步还有没有力气，有没有热情，如果只知道一味赶路忽略了喘息的机会，那这不叫前进，叫回光返照,10月25日 23:48
什么春节，我们有春节么？我们只有调休特产哦,10月25日 23:48
,10月25日 23:47
我只能想到这个… ,10月25日 23:47
调呗，谁还能调得过你啊。合着年三十儿晚上大家下班就能跨步回家吃现成年夜饭呗。 忙了一年到头这年饭是真吃不上一点啊。 ,10月25日 23:47
幽默 ,10月25日 23:47
我偶尔爱这个世界，偶尔讨厌,10月25日 23:47
把大家全铜丝，二十年后再复活，这样就可以晚退休二十年，有能力身体好的还能多活二十岁，你说是不是 ,10月25日 23:47
所以今年春晚也不会排了吧，要不人人加班上学谁看啊,10月25日 23:46
滚 真的滚 我说的是我 我会滚的,10月25日 23:46
看出什么了吗？ ,10月25日 23:46
看了下时间安排，虽然跟我没啥关系。但阔别十一年，又要在春节过生日了,10月25日 23:46
到底是哪个汉奸做出这种决定的。。。 ,10月25日 23:46
6 ,10月25日 23:46
好好好，那我今年又有理由不回家，又是可以延迟结婚生娃的一年，别催，不关我事,10月25日 23:45
春节还过不？。。。 ,10月25日 23:45
知道我们过年没年味，干脆不放了。。。。。。 ,10月25日 23:45
放不起可以不放，年头调休到年尾，我宁愿正常双休，法定假日该放几天放几天，调休真的❌❌❌很累可以理解除夕不是法定节假日，但是不理解除夕要上班，作为一名中国人，自古以来除夕夜，竟然不放假，震惊且搞笑，都调休了竟然没调到除夕,10月25日 23:45
"【无论躺平还是奋斗，都不能用有毒的洗发水，健康护头皮，去屑止痒 -法国普罗旺斯有机洗发皂 】体验：头发韧性提高31.48%，柔软度提高41.51%，头皮屑改善51.06%，止痒18.99%。：淘宝：，微店：【咨询私信】养护头皮、去屑止痒、去除化学残留：1、99.9%天然 【无论躺平还是奋斗，都不能用有毒的洗发水，健康护头皮，去屑止痒 -法国普罗旺斯有机洗发皂 】体验：头发韧性提高31.48%，柔软度提高41.51%，头皮屑改善51.06%，止痒18.99%。：淘宝：，微店：【咨询私信】养护头皮、去屑止痒、去除化学残留：1、99.9%天然成分，无化学成分和防腐剂。2欧盟ECOERT和法国BIO有机认证。3高岭土取代皂基，以面膜成分清洁头皮， 4,节能环保减碳，获2010年奥斯卡LSA金奖。",10月25日 23:45
无所谓我会辞职 ,10月25日 23:44
看来等我上班了，我要改属驴了 ,10月25日 23:44
成龙说过：中国人需要管的。我觉得大部分应该指尤其中国某些领导制定措施方案规则的人，还有专家更需要管。 ,10月25日 23:44
原来我是属驴的呀！,10月25日 23:44
看不懂斯密达 ,10月25日 23:44
史上第一次是吧？ ,10月25日 23:44
忙了一天现在看到这个？？！过什么年啊,10月25日 23:43
我天，现在互联网kpi压力这么大吗，抖音各搞笑号都已经是的段子了。你们知道剧情号跟热点发当天帖有多难吗 ,10月25日 23:43
滚 ,10月25日 23:43
遥 遥 领 先 ,10月25日 23:43
除夕不放假，严重伤害了民族感情。,10月25日 23:43
以为大家都是大城市的土著吗，上完班立刻开车回家跟老爹老妈过年，有些打工人过年回家要转省再转市说不定还得搭车到县里到镇里，真是高高在上何不食肉糜 ,10月25日 23:43
新鲜出炉 LaTeX 排版的 2024 日历 -,10月25日 23:43
傻批 ,10月25日 23:43
哈哈，看有人说这下可以看公司有没有人情味了。😅我想说，公司有没有人情味我不知道，但是，显而易见的_______没有人情味 ,10月25日 23:42
滚滚滚滚滚滚滚滚拉倒吧拉倒吧拉倒吧,10月25日 23:42
什么时候变啊，日子越来越荒诞 ,10月25日 23:42
专家：赌一个不可能企业啊公司啊真让自己员工除夕不走的，虽然不是法定节假日，但大过年的睁只眼闭只眼，摸鱼早撤很正常，路途遥远的情理之中肯定也会提前放的，家近的就算办公室没人了值个班也不累的，当天工资也不会少了你们这群打工人的，你们赚的好不好， 专家：赌一个不可能企业啊公司啊真让自己员工除夕不走的，虽然不是法定节假日，但大过年的睁只眼闭只眼，摸鱼早撤很正常，路途遥远的情理之中肯定也会提前放的，家近的就算办公室没人了值个班也不累的，当天工资也不会少了你们这群打工人的，你们赚的好不好，老板赚了个人情味，远途的赚了个感恩戴德，近途的赚了个劳苦功高，满盘皆赢领导：赌一个你们这些人就是要早走也算请假，少你们一天工资也不过分，毕竟除夕是工作日，规章制度就是如此，干一天活拿一天钱，提早走的可以批准，工资正常扣呗，大不了不扣钱记账在年假上灵活运用起来呗，反正你们也不敢辞职，过个年人情往来的最后口袋里也没啥钱了，最后还不是要老老实实回来继续打工的啊,10月25日 23:42
好好好 我上黎麻麦啤 灾舅子 ,10月25日 23:42
,10月25日 23:41
拉倒吧拉倒吧拉倒吧 ,10月25日 23:41
暗恋同事的人有福了，除夕都待在一起,10月25日 23:41
不买房是吧 不生孩子是吧 那年也别过了,10月25日 23:41
其实对于专家一部分的决策是不敢苟同以一个广告人的视角想说的是在广告行业，我们所做的内容营销如果不是基于消费者的情绪只是我们个人觉得这个创意叼到爆炸那就是自嗨很多人说广告行业已经病态各种自嗨创意实在无人问津但是你把自嗨这个词放到各行各业也不少发现，自嗨大有人在 其实对于专家一部分的决策是不敢苟同以一个广告人的视角想说的是在广告行业，我们所做的内容营销如果不是基于消费者的情绪只是我们个人觉得这个创意叼到爆炸那就是自嗨很多人说广告行业已经病态各种自嗨创意实在无人问津但是你把自嗨这个词放到各行各业也不少发现，自嗨大有人在在做任何决策前，为什么不能切身去体验一下呢？自小便耳濡目染的那句“从人民中来，到人民中去”长大以后是否有实践吗？根据这些所谓浅显数据分析，就一定能得出长假可以让大家更好安排时间、安排行程从而通过各种旅游等其他休闲娱乐产品拉动经济增长的结论呢？为什么不能多思考一点？多些洞察呢？促进消费，拉动经济的根本原因是消费者想，大部分不是真正的必要需求现在这个时代，消费需求的结构已经改变并不是单单因产品就能促进消费你在满足他们物质需求的同时不也要注重他们的情绪价值吗？但当大家不愿意 ，消费情绪低迷是否还能继续再拉动经济呢？所以，不要再因为通过简单数据分析得到一些浅显的结论而沾沾自喜那也纯属纸上谈兵，在自嗨罢了,10月25日 23:41
真的不需要用查一下文旅局办公室那几位的颜色吗？我且善意理解他们的意思是想“企业“良心发现”自主春节放假不要通过法定“强制”，8小时工作制企业认真贯彻落实了吗我请问呢？“巧妙的探索”，你是不是觉得你很幽默啊我请问呢！巧妙你妈巧妙！探索你妈探索！给老子法定！操！真的不需要用查一下文旅局办公室那几位的颜色吗？我且善意理解他们的意思是想“企业“良心发现”自主春节放假不要通过法定“强制”，8小时工作制企业认真贯彻落实了吗我请问呢？“巧妙的探索”，你是不是觉得你很幽默啊我请问呢！巧妙你妈巧妙！探索你妈探索！给老子法定！操！,10月25日 23:41
我是叶文洁我也按 ,10月25日 23:41
拉倒吧拉倒吧，除夕为什么不放假 ,10月25日 23:41
人如何度过一天，就如何度过一生2023眼瞅着就要过去了呢,10月25日 23:41
同意的是没爹妈等着回去过年吧,10月25日 23:41
不明白为什么，实在是很难理解//:有生以来还是相当震撼的,10月25日 23:41
不知道说啥了🤷‍♀️ ,10月25日 23:41
拉倒吧拉倒吧拉倒吧，春晚别播了，有什么好播的，除夕有什么理由不放假 ,10月25日 23:41
“同事:以后没有十二生肖了 全属驴”哈哈哈哈哈哈哈哈哈哈哈哈哈一语中的,10月25日 23:41
Happy Lunar New Year ,10月25日 23:40
2024年除夕文案：1⃣️暗恋同事的有福了，除夕可以和同事一起过；2⃣️我怕除夕的工作太忙，您会收不到我的祝福，我怕除夕那天会议太吵，您会听不到我的祝福，我怕除夕那天通勤太久，您会看不到我的消息，在这里提前祝大家2024年新年快乐🍾️ ,10月25日 23:40
在干嘛？建议少聘用门清的孤儿院人事来排假期，除夕不放假，没有家人是吗？这么排假期，不怕家里遭报应吗 ,10月25日 23:40
下午魏老师刷到后说除夕不放假我的第一反应是  除夕？除夕？以为听错了  反复确认了八遍🙉 ,10月25日 23:40
我怕大年三十晚上要加班送不了祝福 提前给大伙拜年啦,10月25日 23:40
好了又有理由辞职不上班了 ,10月25日 23:40
拉倒吧拉倒吧拉倒吧，除夕为什么不放假 ,10月25日 23:40
这到底是谁定的假啊，脑袋装屎了吧，今年的奇葩事真多,10月25日 23:40
你猜猜春晚为啥是除夕放不是初一放？但凡对春节有点儿了解都不能让除夕不放假吧…… ,10月25日 23:40
就问你们离不离谱哈哈哈哈放假真是个笑话又想让你消费又不想让你放假,10月25日 23:40
理解叶文洁 ,10月25日 23:39
有人知道提及这个方案的人住哪吗？想送点礼去 ,10月25日 23:39
滚 ,10月25日 23:39
睡前再骂一句 一个违背祖宗的决定,10月25日 23:39
免除十二生肖吧 都属驴,10月25日 23:39
这么会调怎么不调调月经,10月25日 23:39
怎么觉得，除夕放假也没几年吧，之前一直都是初一开始的呀，不过除夕单位也都放了！ ,10月25日 23:39
为什么不放假呀？ ,10月25日 23:39
大家一起玩呀 ,10月25日 23:39
走到基层去！站到人民中！ ,10月25日 23:39
想想就羡慕，办公室恋情的cp们有福咯直接在一起过年🧨 ,10月25日 23:39
今年除夕倒计时的时候我会在哪里哎,10月25日 23:39
真是把人当牲畜用啊！我们是社畜，不是牲畜。 ,10月25日 23:38
……上班没问题，可以上。一年365天，我就可以上365天。可问题就是那个破工资，值当吗？物价涨了，工资却没涨…… ,10月25日 23:38
今年这春节假期出来后，那些官媒被骂一天了，但从现在的实际情况来看，这调休还真是最好的方案。无论怎么调，都一定会被骂。因为如果是从除夕开始放，放到初七，那就成了，前面连上6天班，节后连上7天班的情况，那这种调休，说不定被骂得更惨。如果不调休，按照法定节假日，那就成了从初 今年这春节假期出来后，那些官媒被骂一天了，但从现在的实际情况来看，这调休还真是最好的方案。无论怎么调，都一定会被骂。因为如果是从除夕开始放，放到初七，那就成了，前面连上6天班，节后连上7天班的情况，那这种调休，说不定被骂得更惨。如果不调休，按照法定节假日，那就成了从初一放到初五，只放五天，那同样会被骂得更惨。根源就在于，法定假期时间就只有三天，还不知道哪年才能推动延长多两天。🤔,10月25日 23:38
告诉央视春晚 今年不用排了,10月25日 23:38
gpt怎么评价 ,10月25日 23:38
本来就没年味，还这样，，，，,10月25日 23:38
春晚别排了，我可能连难忘今宵都赶不上,10月25日 23:38
没关系  就算这个规定不出来  我们陕西的高三也不放,10月25日 23:37
不是吧…… ,10月25日 23:37
神经病，安排这个调休的领导麻烦发一下当天的打卡/工作记录给全国人民看看啊,10月25日 23:37
我的天哪，睡觉前想到这件事，我要气到睡不着了，请问做这个决定的人睡着了吗,10月25日 23:37
年三十不放假，一片骂声啊,10月25日 23:37
我们不应该把自己当人的，百姓算什么，蚂蚁都不如 ,10月25日 23:37
除夕不放假就是在刨老祖宗的坟，中国人最重要的节日就这样被专家给否定 给取消，只要开了这个先河以后除夕节了大年三十都将被淡化！ ,10月25日 23:37
你为何不报官 ,10月25日 23:37
关于做这个决策的人ta家应该住的很近ta应该没体会过背井离乡的感觉吧，不知道从6点到12点是到不了家的吧，不仅吃不上年夜饭，还会错过跨年ta应该可以天天回家不知道有些年迈的父母，有些留守的儿童，一年到头就盼着过年可以见上家人一面吧ta应该是双休吧不知道什么是996的吧，不 关于做这个决策的人ta家应该住的很近ta应该没体会过背井离乡的感觉吧，不知道从6点到12点是到不了家的吧，不仅吃不上年夜饭，还会错过跨年ta应该可以天天回家不知道有些年迈的父母，有些留守的儿童，一年到头就盼着过年可以见上家人一面吧ta应该是双休吧不知道什么是996的吧，不知道大家调休和他的调休不一样吧我想起了那个建议大家没收入的时候让大家把房子出租的专家这个决策者和那个专家一样，怪好人呢，都在为大家着想呢，我可真谢谢您了,10月25日 23:37
呵呵呵 ,10月25日 23:37
那天我生日,10月25日 23:37
,10月25日 23:37
“不敢高声语，恐惊天上人” ,10月25日 23:37
。 ,10月25日 23:36
多放一天，地球能爆炸是咋？ ,10月25日 23:36
怎么放假的，我就想问除夕为什么不放假。 ,10月25日 23:36
。。。。。 ,10月25日 23:36
怎么放假的，我就想问除夕为什么不放假， ,10月25日 23:36
趁着傍晚，热搜直接没了是吧,10月25日 23:36
也不知道还能在家过几次年 ,10月25日 23:36
安排个几把，不要安排了好吗 ,10月25日 23:36
啊？？？别太离谱了怎么连除夕都不放啊,10月25日 23:36
怎么放假的，我就想问除夕为什么不放假 ,10月25日 23:36
怎么放假的，我就想问除夕为什么不放假 ,10月25日 23:36
谁想出来的“好主意”,10月25日 23:35
除夕上班是三倍工资还是正常工资,10月25日 23:35
就想问，提前多放一天能怎么地 ,10月25日 23:35
关于各大ｖ的微博不是很能理解，个人认为问题不在调休本身，在于调休方式，为什么不能调除夕？说“隐形”福利简直耍流氓，哪个长节假日前日下午公司不会出现这种隐形福利？除夕休息这个福利就会没有？不敢苟同！还有部分说大众认为的过年是初一到十五，这是年味最重的时候。不知这个结论是 关于各大ｖ的微博不是很能理解，个人认为问题不在调休本身，在于调休方式，为什么不能调除夕？说“隐形”福利简直耍流氓，哪个长节假日前日下午公司不会出现这种隐形福利？除夕休息这个福利就会没有？不敢苟同！还有部分说大众认为的过年是初一到十五，这是年味最重的时候。不知这个结论是如何论证出来的？春节联欢晚会，每年都固定的时间点吧，除夕20点到初一2点，个人认为这段时间的跨年夜才是年味最重的！8090甚至00这短暂的前半生里年复一年的形成的传统节日文化概念，个人认为传统文化节日是中国“合”，“和”文化的极其重要的组成部分。如此调休，有故意淡化传统节日之嫌，进而甚至可能淡化民族精神，改变思想文化，你甚至可以在评论区看到鼓吹去过外国节假日的言论！蓦然想到，前段时间的教科书丑化国人事件，唏嘘～不敢细想啊，个人拙见，还请理性看待,10月25日 23:35
咱就说，你咋不从初二开始安排放假呢？那样就有十天假了，我们就会更加感谢感激和感恩了！,10月25日 23:35
真有你们的，多听听人民的声音好吗 ,10月25日 23:35
哈哈哈哈哈哈你们完蛋了,10月25日 23:35
谁寻思出来的东西啊,10月25日 23:35
【】据中新经纬报道：10月25日，国务院办公厅发布关于2024年部分节假日安排的通知。关于春节放假安排引发了网友广泛讨论，中国人民大学休闲经济研究中心主任王琪延建议，“我们可以在春节增加两天的休假时间，这样就解决了调休问题。”王琪延指出，2024年春节也存在调 【】据中新经纬报道：10月25日，国务院办公厅发布关于2024年部分节假日安排的通知。关于春节放假安排引发了网友广泛讨论，中国人民大学休闲经济研究中心主任王琪延建议，“我们可以在春节增加两天的休假时间，这样就解决了调休问题。”王琪延指出，2024年春节也存在调休的问题，实际上国家发改委的工作人员做了充分的调研，召开了专家座谈会等，最后做出这样一个安排是非常进步的，因为它很人性化，充分考虑了节前节后工作与休闲的关系，两头都是工作6天而非7天以上。王琪延表示，从改革方案上讲，通过落实带薪休假，把权力下放给企业和员工，让他们协商，在不影响企业正常运行的条件下，做出合理的时间安排，让他们得到充分的休息。王琪延认为，“我国的劳动生产率在全世界应该是中等水平，所以每年还可以增加20天左右的休假时间，因此我一再提倡‘做四休三’。我们可以实行两天半的休假时间，最终达到‘做四休三’的节假日安排。,10月25日 23:35
脸皮厚了，也就不怕老百姓骂了。居然还建议企业员工使用年休假，这不就是在压榨员工的私人时间吗？春节假期属于公休假，为何要把年假掺合进来。 ,10月25日 23:34
这回真可以看一个公司有没有人情味，就算法定不放假，有良心的公司也会放，毕竟除夕对中国人挺重要的，而且那天也没人有心思工作，当然，除夕愿意放假的公司今天新闻一出来就可以预告员工了，如果是我的话我会念着恩情这几天上班用心点减少摸鱼，哪怕除夕本来就该放假 ,10月25日 23:34
当代年轻人对传统节日没有认同感，这不是你们努力的成果吗,10月25日 23:34
蹭个热度，我们村唱戏的草台班子唱的贼烂，没人去听，然后开始开始拦路抢劫了，怎么办,10月25日 23:34
没关系 上一个除夕也是在工作中度过的,10月25日 23:34
什么东西？ ,10月25日 23:34
这是要不春节干没了 ,10月25日 23:34
哈哈哈哈哈哈哈哈 ,10月25日 23:34
比较好奇今年春晚还会不会有团聚的元素,10月25日 23:34
干活还是要找能休假自由的公司我司最近赵企业信息化产品经理及解决方案顾问，有兴趣的私信我简历，坐标杭州。 ,10月25日 23:34
滚 ,10月25日 23:34
“都不买房 不生孩子是吧？年也别过了” ,10月25日 23:33
有什么工作可以不上班啊,10月25日 23:33
我这种不喜欢节前请假的怎么办  干脆别回去过年了,10月25日 23:33
顶起来 ,10月25日 23:33
不行以后咱都过圣诞节 ,10月25日 23:33
这咋寻思的呢？,10月25日 23:33
喜欢下班的有福了，这下除夕也可以下班了,10月25日 23:33
还是人吗 还把我们当人吗 ,10月25日 23:32
玩不起，一下就下热搜了,10月25日 23:32
意味着yh人大年三十也要拉存款，嘎嘎 ,10月25日 23:32
赢麻了,10月25日 23:32
？？？,10月25日 23:32
