text,gender,comments,likes,time
我没懂在吵什么，服务业=服务员？发达国家就是服务业是支柱啊，咋的服务业是贬义词啊？,-1,0,0,2023-12-16 17:31
热度又有了，张雪峰心里多开心啊,-1,0,0,2023-12-16 17:24
文科，不见得就是服务业，服务业也未必就要舔，舔是服务业无序竞争的标志李白杜甫，是文科的优秀代表，两人都以放荡不羁，个性鲜明为特征，搞文科，只要你不说达到李白杜甫，至少是白居易、王维的水平，相信在这个时代，你也不至于需要讨好谁更不用说舔谁相信张雪峰当初也是一时冲动，说话过了点，实际上他肯定也明白文科也是分等级的，顶级的作家、诗人、作曲家，肯定也是大家求着的对象，同样达不到顶级的理科从业人员也会经常陷入无序竞争甚至内卷，所以任何行业关键不在于做什么，而在于做得怎么样，做好的都是有前途的,-1,0,1,2023-12-16 16:54
舔不是文科的问题，是没有能力的问题商业本质上是价值交换，你用你的能力提供价值，雇主、客户才会给你提供钱。如果你不能提供业务上价值，而又想得到钱，自知自己能力差劲，那就只能提供别的东西，比如尊严。尊严是值钱的，尊严也是可以换钱的。舔与不舔，完全是个人能力的问题，跟任何行业无关。文科里真正有能力的律师，别说舔了，多少客户不惜花重金聘请，官司打赢，恨不得买面锦旗来感谢。一个人的后半生，百万千万的利益，可能全由律师的能力决定。理科哪怕你学张雪峰最喜欢的计算机，如果你能力差，在学校混日子拿了个文凭毕业，但只会写简单的代码，没有真正的工程能力，请问你要不要舔你的面试官？总而言之，张雪峰的话绝对是不准确的，舔的原因本是没能力，他竟然扩大到了整个文科。鉴于崇拜张雪峰的人的数量，这句话带来的误导是巨大的。可是错误的代价张雪峰分毫不承担，而是无数个被误导的年轻学子自己的人生。鉴于他说他自己也在舔，根据分析，说明他其实心里知道自己的能力并不高，知道自己说的话并不准确，对自己说的话并不自信。他害怕别人不信他的话，于是要么靠舔，要么靠威胁。试问张雪峰提供了什么价值，换取了如此之大的流量？在我看来，没有任何价值。张雪峰真正做的事，是博取人们的信任。他根本不管自己说的话是否正确，而是去努力博取别人的信任，再去说话。于是他无论说什么，总是会有大批的支持者。此时他说的话是对是错，就已经不再重要了。,1,0,1,2023-12-16 16:54
按照我们从小学习到的中国官方的说法，所有的公务员岗位，下至基层员工，上至领导干部，都应该是服务业。,1,0,2,2023-12-16 16:05
文科老板们是服务业？？确切说，不是老板的打工仔都是服务业谢谢,-1,0,0,2023-12-16 16:01
尤其我们工商管理这种没有啥含金量的专业，毕业只有两条路可走。要么就舔，要么就卖苦力。,-1,0,0,2023-12-16 15:32
这种一上来就站在高地的人真带死啊。也不查查什么时候分的文理科，也不看看别人说话时候的环境。,1,0,2,2023-12-16 15:30
  张雪峰和阿giao其实本质上是一样的，靠搞笑火的，然后想开始称圣了。,1,0,0,2023-12-16 15:15
胡适晚年在美国找不到工作，可他有35个博士学位，都tm是文科。,-1,0,1,2023-12-16 14:10
      张雪峰这次捅了马蜂窝。      其实文科被理科鄙视，已经是早已有之的事情了。      在学校里面，文理分科的时候，这个鄙视链就已经很明显了。一般一个学生如果文科和理科都好，老师都会倾向于推荐学生上理科。假如学生一直坚持学文科，老师就会把学生拉到私下里以各种文理就业，职场竞争区别教育学生。       一直以来这么心照不宣的至少十几年了，张雪峰那天可能是说嗨了，不小心把真实情况说了出来。       为什么反响这么大。       因为这就是真实情况嘛。       谎言不会伤人，真话才会。       当然，文科本质不是服务业，这个张雪峰并没有说对。文科本质是对社会人文的思考，是观点的输出方。就像理工科是工业产品的输出方一样。只不过，在现在的语境下，社会人文的思考有很大局限性。很多文科人应该做的事情，从事的工作，做的思考，很容易走向死胡同。        所以现在的文科变成了服务业，因为你既然不能有太多自己的观点，你输出不了自己的观点。你就只能去做别人观点的附庸，去附和别人的观点。        其实这些年，文科的就业情况已经有非常大的改善了。特别是自媒体兴起以后，很多文科生不需要依赖传统平台就可以做到观点输出。这里最典型的有像“小约翰可汗”，“渤海小吏”等某些知名UP主，大V。这些人通过他们的历史文化知识，制作历史科普类剧集。相比以往在电视上，传统媒体看到的历史科普类剧集，他们制作的内容加入了更多现在年轻人喜欢的表达方式，即诙谐幽默，又不失人文知识，迅速的成为粉丝百万的大V。       从这个角度讲，张雪峰说文科生主要是服务业，已经有点不符合事实了。至少在相比于以前需要人人进入传统媒体才能发声的时代。现在的文科生，是取回了一部分观点输出权力的。       现在只要是一个愿意努力码字，整合材料，输出观点的文科书，都很容易找到自己观点输出的地方，找到自己的事业所在。甚至可以说，有些理科生现在都在努力码字，输出观点。       说句不好听的话，现在还有理科生能在各种自媒体平台占有很大的话语权，还是因为文科生太懒，对以往的路径太依赖。       很多人说到文科学习，就是死记硬背。这个在文科学习的早期阶段自然不假，但是到了本科阶段，文科学习想着死记硬背，没有自己的观点输出能力。那只能说明你的文科学习完全不及格。       作为文科生，天然的在文字的阅读量，语言的交流量上要远高于理科生。对于社会层面，历史层面，人文层面，情感层面的理解和想法，在文字表达以及观点的陈述方面应该都要高于理科生。甚至于哪怕是跟理科生比做科学知识的科普，文科生哪怕在知识层面上不如，在表达方式上，语言应用上也应该远高于理科生才对。        现在搞得好像这些理科生都在占有市场的话语权，理科生在制定鄙视链。那些整天逼逼叨叨的这个脱口秀演员，那个百万级文案，那些各种装模作样的辩论赛选手，面对这种问题，好像都哑火了。        所以我说，现在的文科问题不是舔，而是懒。        而懒，是没得救的。,0,0,1,2023-12-16 14:10
他是在连线所以其中的真实的主语不是文科，而是“这个学生”正解应该是：你这个家庭条件和个人能力，去学文科，最后做的肯定就是需要舔别人的不那么体面的服务业我反思了一下我的家庭又看了一下各路反对的网友举的各种例子我越发觉得没啥毛病毕竟他还有另一个知名段子，说某个学生是天生要去学土木的人才，难道他是在夸土木专业好？,1,0,3,2023-12-16 13:43
你先判断好，马哲是不是文科。为人民服务，是不是服务业。,-1,0,0,2023-12-16 13:24
让我想起教员的话了。教员说，知识分子就是毛，社会阶级就是皮。皮之不存毛将焉附，知识分子只能依附某一个阶级才能够存活，知识分子也只能为某一个阶级服务，为其发声和谋利。所以，知识分子没有独立性。,-1,0,2,2023-12-16 12:14
为人民服务≠舔人民,1,0,0,2023-12-16 11:38
说文科是服务业已经是抬举了，舔确实是服务业的重要技能，但舔却不是文科知识，服务业用不了多少文学知识，是文理兼收的。,1,0,1,2023-12-16 10:35
为人民服务,-1,0,0,2023-12-16 10:18
舔=媚上讨好上级领导或客户，而媚上必然欺下，缺少独立人格、就业门槛低，靠丢失尊严的方式获得机会得到晋升，晋升之后就去舔更高级别的，压榨更多人，也会有更多人来舔你。逐渐被驯化到自己也不像个人。。。只能说我们的文科教育没能体现出先进性，反而杂糅了过多的三纲五常，有人说这个是礼仪、是对人的尊重，但其实就是一个高阶级控制更低阶级的手段而已，任何人在这个系统里都极大的丧失了人格尊严,-1,0,0,2023-12-16 9:28
所有行业都是为人民服务。,1,0,0,2023-12-16 9:06
我看了下他的原话。张雪峰称：所有文科都叫服务业，总结起来就是“添”。虽然是一句话，但是表达了两层意思。一是，“所有文科都叫服务业”。这句话说的本就是常识呀。服务嘛，不丢人。作为文科生，也并没有感觉到任何冒犯。而后面这句，确实听起来不舒服。服务不等于“舔”，也不等于跪舔。别忘了。“欲练神功，必先自宫”的背面还有一句——若不自宫，也能成功。,1,1,13,2023-12-16 7:39
这个货还不让回复我在这里告诉他 主席说过为人民服务！,-1,0,1,2023-12-16 7:05
我们有些人啊，一提文科生就把教员抬出来做盾牌，你们是没有别的正面例子可以举了么？服务业就是服务业，做服务的，不舔着客户，难道还要让客户舔你？抬教员出来有什么用？教员在党内工作上照样被气的要“回井冈山”还拿这群跟他对着干的人一点儿办法没有。你瞅瞅你们这帮人这些年都干了啥？文化文化走不出去，宣传宣传一败涂地，统战统战一地鸡毛，金融金融一塌糊涂。天天还好意思舔着个脸说没有文科生搞管理，社会就要崩溃。你管理了个啥？管了这些年就把一个蒸蒸日上的大国管到了“深水区”里，把一条康庄大道管成了“曲折的道路”。把老百姓的消费信心都管没了还在这里洋洋自得。除了缩在自己的小圈子里写些附庸风雅无病呻吟的文字自我吹捧之外你们还能干啥？就连老本行的练嘴都练不过一群野路子网友，不是把教员抬出来冲锋陷阵就是利用那点儿业内优势对敢说话的人群起而攻之，还逼人道歉？我要是张雪峰，我就全国各大媒体挨个公开道歉，连续道歉一个月，看你们害不害臊！,1,3,14,2023-12-16 2:57
让文理保持独立性的从来就不是什么科的问题。而是阶级问题。你位高权重你就独立。当然有人反驳我，甚至拿马逆的视频反驳我。那我就用马逆的概念，问一问。假如你有超能力了，吃了海贼王的震震果实。你往北京，天津之类的大城市放一个6-6.5级地震。你觉得马逆口中那种背靠自然规律的土木人。他们设计，监督建造的房子，大桥，体育馆。有多少屹立不倒的？倒了的那些，他们背后的设计者是不是理工科的。他们真有职业独立性吗？所以到最后还是阶级问题。上级压下来，不管文理，都会有人站出来说不合理。只不过说不合理的百分之九十多都说不出来了。留下的能说出来的，基本上不是树立的标兵榜样，就是人家背后有人上边压不动。,1,0,0,2023-12-16 1:45
我想到一个非常有趣的问题：我说一个人全家是种地的，为什么他会生气？,-1,0,0,2023-12-16 1:35
很明显，张雪峰错了，但是不是错在他的言论，而是错在发言的角度。他真把直播间的观众当家人了。普通文科生就业环境确实堪忧，绝大多数文科生因为没有过硬的专业技能，也确实只能从事“舔人的服务业”。但是这句话可以给自己孩子说说，但是绝对不能用在公共场合。,0,0,0,2023-12-16 1:18
确实但本质上来说绝大多数人都是服务业，不是文理科的事,-1,0,1,2023-12-16 0:55
这种明显的偏颇很容易发现，举个最简单的例子，郭继承算服务业吗？具体来说，实用主义者通过观察「文科学生的就业去向」，确实可能得出这种以偏概全的结论，但它们轻视了文科作为学问的核心价值，也就是承载文明和孕育理科。如果要拿现实出路来拉踩，出于公正也应当拿它的宏观作用出来讲讲。宏观认识的关键在于，学会区分人类文明的工具和人类文明其本身。我有一个最简单的思想实验，设想一个外星人只用望远镜日日夜夜地单向监视地球。那么很显然：它能够看到羽田空港，但看不到全日空它能看到理科一号馆，但看不到东京大学它能看到国会议事堂，但看不到自由民主党所有表面上能看到的，都是人类文明的工具，而人类文明其本身并不能被外星人察觉到，它会认为这个星球上只是有一些特殊的有机物转运其他物质的机制而已，就像有一堆一多米高的催化酶。只有我们人类自己才知道，全日空，东京大学，自由民主党，这些是代表着当前人类文明高度的建构成果。人类正是为了维持发展这样一些文明的成果，才去发掘资源制造文明所需的工具。 知乎上前些年形成过非常偏激的「工业党」，认为一门学问，一群人，一个团体的价值，完全取决于它们修地球的能力。它们的理想是，齐心协力艰苦奋斗，多造工厂，工厂出机器零件，以此再造工厂，再造更多更多工厂。最后大家一起坐在满地的工厂上大眼瞪小眼。外面谁敢看不顺眼就转产炮弹打出去，把白左圣母文科生都打服，在全世界造满工厂，然后继续大眼瞪小眼。从某种意义上来说，中国已经实现了上面第一步的大眼瞪小眼。全人类要是能普遍接受这种价值观，清华大学也不至于停招土木专业本科生。事实证明，人类对于把客观世界里的物质搬来搬去是很懒惰的，地球也不在乎你怎么修理它，修前修后都是普通的地球，它不持偏见。人类文明的工具只是为了做到，追求精神满足的时候不要太为物质匮乏分心就行。真能调动大量人力物力的，都是能改变未来精神生活预期的造梦级工程。理工科开工的前提，永远是文科首先说服人。而大多数人忙着打螺丝的一生，本质上是为了能有个安静恒温有电有wifi的房间，安安静静地打原神而已。要是文科劳动者都不设计原神了，理工科劳动者会坐在铺满地表的工厂上，无聊到天天盼着对外星宣战。而话又说回来了，我们理工科具备改造地球的能力，归根结底是文科最初把这一使命归入理科分支交给我们。客观世界没有把自己的运行机制奉送给人类，人类最初意识到客观规律的存在，都要归功于最初的文科思辩者仰望星空，试图用微不足道的人类脑电波活动来洞悉自然。日本文化圈有句古话叫，「日月叠璧，以垂丽天之象；山川焕绮，以铺理地之形：此盖道之文也。」说的就是最初仰望星空，参悟自然的成果是最初的文科。当人类对于一些客观事物多次重复文字描述，自然会在文字间文字间发现规律并创造结构，最终会有智者将严格定义且可验证的部分给整理出来，剥离所有贡献者的主观看法，形成一个个独立的理科领域。这个「明确规律前文科，明确之后转化为理科」的过程直到今天还在不断进行，两个最新的孵化成果是逻辑学和计量经济学，当然阳和平那个不算。将人类的所有知识梳理成一张树形图，会发现它们共同的源流是西欧的经院哲学。再详细一点说，一切科学都源自当时经学家们对于「上帝为什么存在」这个话题，本着「如无必要勿设上帝」的理性主义精神，进行的一次千年的文科大讨论。,1,6,10,2023-12-15 23:59
文科生暴怒和理科生洋洋得意，都反映了职业歧视的存在，也侧面反映不少人虽然喊着“教员教员”，其实和教员压根走不到一条道上。,-1,0,2,2023-12-15 23:59
文科都是服务业，一般行业大类只分农业、制造业、服务业，显然文科不是农业和制造业吧值得反思的是，服务业为啥是贬义词呢？公务员也是服务业，医生也是服务业，美国总统也是服务业，巴菲特也是服务业，大家看那个传媒女王毫无疑问也是服务业，这些大家不是挺喜欢的那么是什么原因，导致大家被说是服务业时候不爽呢？这个等级社会，最终受伤的是所有没有统战价值的牛马,-1,0,0,2023-12-15 22:56
教员，也是文科生出身，他做的其实也是服务。但是，你能用这个字吗？所以，张雪峰前半部分说对了，错的是在后半部分，文科生的价值绝对不是停留在那个字上面。,1,0,20,2023-12-15 21:38
这个还真不是钱的事，古语有云：学会文武艺，货于帝王家，妥妥的服务业呀。即使你成名成家，财富自由，到头来还有一个最大的等着你服务呢。你要是舔不好，等着你的可不只是没钱那么简单了。自古至今，别说文科，就是理科中偏基础理论的，要是没有摸清＂时代的脉搏＂，被整死的也大有人在。,1,8,68,2023-12-15 20:36
包括鲁迅吗？,-1,0,0,2023-12-15 20:09
,1,0,0,2023-12-15 18:22
公务员为人民服务别当，服务业不行了不想服务他人，可以当工人么？工人阶级领导国家，是国家主人，工农联盟是基础么？这不是写的明明白白么理工科有没有可能压根没地方舔，因为你都不和领导打交道 都见不到领导,0,0,0,2023-12-15 16:41
张雪峰不论本心如何，是口误还是故意，都传达了这样的观点：文科就业=都是服务业=社会地位低下=工作是舔别人=不创造价值。这种现象确实存在，但这种说法有点以偏概全，混淆概念，把就业和人身关系等同起来，再加上特定现实现象作为证据，得出了一个合理又不合理的结论。他怎么想是自己的事，但是公开输出这种观点，而且是对大多数确实处于并将长期处于下位地位的人输出，才引发舆论。中国社会本质上是一个等级社会，不分有产或无产，也不分文科或理科，人和人产生联系时，平等关系是极其稀有的，基本上都会分出上下级，只是职场更明显，更清晰。现代经济社会中，服务业（第三产业）是为了创造更大的经济价值，附带情绪价值，服务有客观标准，规范，底线，指向具体的事务。而张雪峰说的文科服务业，其实并不是单指第三产业（文科就业领域）本身，也指下位者向上位者提供服务，以情绪价值为主，事务价值和经济价值为辅的关系模式。服务偏向主观需求而不是客观要求，指向具体的人，所以用上了“舔”这个词，隐含着对人的轻视，要求以上位者为尊，自己为卑，是一种不平等的关系。这种不平等，并不以文理科划分，而以社会地位，资源，权力划分，广泛存在于职场各行各业，男女两性，家庭内部，朋友圈子。张雪峰可以说文科是舔，这不影响理科作为乙方同样受制于人，只是五十步笑百步，没必要去争，不论是是文理双方，还是和张雪峰本人。总结普世价值倡导人人平等，承认人的独立意义和价值，认为人和人的关系本质是交换个体资源，相互服务，通力合作创造更大的价值。但历史传统不是这样的，现实也不一定是是科学且理想的，建国才多少年，教育普及才多少年，想改变这种关系和思想，还有一段路要走。而个体，无论文理科，都有必要努力让自己有选择，有能力，有底气去拒绝不想要和不想做的事。共勉。,0,0,0,2023-12-15 16:33
张雪峰的直播一直都在阐述一个中心思想“家里没钱的，家里没权的，家里没关系的，就好好学一门手艺”手艺才是你凭本事吃饭的根本。某局长女儿大学读文科，毕业进入公务员队伍文科是服务业吗？为人民服务。某董事长儿子工商管理，毕业进自家公司，文科是服务业吗？为自己家服务。某老板女儿本科学英语，毕业进某银行公司部，他爸给她5个亿存款。文科是服务业吗？为他爸存款增值服务张雪峰直播不仅是考公还是考证考学历，一直就在反复强调一个道理，牛马不要以为靠个学历就能翻身。家里没钱没权真正值得选取的专业必然是有技术含量且有钱人看不上的职业，是那些又累又脏又辛苦的职业，比如“装修，家电汽车维修，厨师，挖掘机，电焊，空调安装，裁缝，美容美发，推拿按摩”，否则就是销售员，服务员，外卖员，快递员，主播，网约车司机。未来那些好的岗位都会被有钱人有权人霸占，你以为自己考个注册会计师，律师执照，读个博士出国留学就能跟家里有钱有权有关系的人抢饭碗。那是白日做梦。所以文科是不是服务业，得看你家里有没有钱。家里没钱没权没关系的，选工科学门技术比文科理科好。,-1,1,12,2023-12-15 14:59
看了很多回答，觉得很没意思。请尊重每一个行业，每一种职业。请尊重他人，尊重自己。你是做工作不是当奴隶，当然，你也不是奴隶主。这个年代还去争论学科无用论？！不可思议。,1,0,0,2023-12-15 14:27
我一直很欣赏张雪峰老师，因为他敢说真话，能够帮助很多普通家庭孩子避雷避坑。不过这次张老师的说辞，让我发现他在这方面的认知也是“老旧的可怕”！当然，人非圣贤，也有自己的盲区和认知落后的地方，很正常！我的理由如下：1、张老师的一句话，贬低了文科和服务业，这是唯心，脱离了现实，违背了实事求是；2、文科并非“没用”，而是当今中国大学的文科“太烂”----“没用”和“太烂”是完全两个意思。中国的新闻传播，培养不出能“铁肩担道义”的人，大多还是西方价值观的舔狗，为资本服务，真正为人民、正义、公道服务的新闻人，屈指可数；3、服务业更不应该被贬低。贬低服务业明显就是“老旧的封建思想”作祟，觉得做服务低人一等。我们一边抱怨享受不到好的服务，一边看不起服务业---这不是脑子有病嘛？前两天我的朋友，说去了某电器销售商场，要买个空气净化器，找销售、找主管、找经理，就没一个能把产品介绍清楚的！还有个别人抱怨直播、电商抢了实体店的饭碗，就说这么垃圾的服务能力，该不该被抢？4、张老师可能老师当久了，没有下过田、没有进过工厂，可能完全不懂，现在各个行业都是“实体产品+服务”，比如一个工厂，过去纯生产，现在还要帮客户设计产品，设计+提案+营销建议，是不是服务？显然是啊，如果没有这些服务，怎么把工厂的议价能力做出来，怎么给工程师、工人们涨工资？明明是一体的东西，非要割裂，张老师这方面不接地气啊；5、关于“舔”。这个说法就更low了，作为“服务业”一份子，张老师本人要不要“舔”？所以，请大家一定要明确认知，独立思考：服务业是现代经济体系里最重要的组成部分，提升全民幸福感、建构社会和谐文明，还能大量吸引就业，在当前中国经济转型过程中，这点尤为重要；中国的大学文科，一定要知耻后勇，实在是太差了，无论是理论高度、应用落地性，还是培养学生方面，混子老师太多，连累“文科”名声；low的服务水平，low的产品，才是需要“舔”，这个根本不分“文科理科”，大家回归价值本身，自己有本事，产品和服务有价值，根本不需要舔，堂堂正正就把钱赚了！最后，张雪峰老师啊，你不是圣人，作为公众人物，不要飘，脚踏实地、实事求是，把各种学科和理论概念要搞清楚，才能帮到更多年轻人！,1,2,2,2023-12-15 14:20
公务员都是为人民服务的，当然都是服务业。,1,0,0,2023-12-15 11:15
没什么恶意和事实错误，单纯是嘴贱选了弹幕最多的说法,-1,0,0,2023-12-15 11:07
别评价了，张雪峰都快进太庙了。,-1,0,0,2023-12-15 11:01
服务业究竟需不需要跪舔，古人早已给出明确的答案《左传》:大史书曰：“崔杼弑其君。”崔子杀之。其弟嗣书而死者二人。其弟又书，乃舍之。南史氏闻大史尽死，执简以往。闻既书矣，乃还。春秋时期，崔杼杀了当时的君主齐庄公。齐庄公死后，太史伯如实记录下“崔杼弑其君”。崔杼不愿落一个弑君的名头被后世指责，便要求太史伯改写为齐庄公病死，太史伯认为史官的职责是如实记录历史留给后人真相 便拒绝了崔杼。崔杼便杀了他。太史伯死后，太史伯的弟弟太史仲、太史叔先后承担起了史官的职责。崔杼以同样的方法逼迫他们写齐庄公是病死，太史仲和太史叔都认同兄长的看法，写下了“崔杼弑其君”。又都被崔杼杀死了。在先后死了三个兄长之后，老四太史季，就职了。崔杼对太史季说“你的哥哥们都太糊涂了，明明是病死，非不照实写。你要识相，不能像你哥哥们一样，明白吗？”  “明白”，太史季说，提笔写下了 “崔杼弑其君”。崔杼终于意识到自己的威逼是没用的，无可奈何，放了太史季。太史季出来看到抱着竹简奔来一人，询问得知:那是南方来的史官（南史氏）为了支持太史兄弟四人而来，决意如果太史季也遭毒手便自己顶上。听到太史季已经成功，他才放心而归。,1,0,1,2023-12-15 10:53
我觉得大家都是服务业，不论文理科（除了部分的公职人员）都是为别人服务的，都希望别人能理解并接受自己的服务内容为何除了部分公职人员？记者举报洗浴提供色情服务后被警方回怼-度小视多的是案例，确实有服务业的公职人员，但是我接触到的，大部分都是上帝，是我没进化成功，是我的错,-1,0,0,2023-12-15 10:47
实话啊，本质上大家都一样啊，三大产业，农业工业服务业，除了农业工业都是服务业啊，怎么不对？,-1,0,1,2023-12-15 10:15
理工也不一样舔？大部分人都没有所谓技术壁垒。我个计算机专业的，今年9月在北京吃个涮羊肉，还得给一群国管局的老领导敬酒...,1,0,0,2023-12-15 9:52
所有科目其实最终想挣钱都会落到人上面。所以问题其实不是在不在于服务业。而是在于，即使是服务业，1，乙方自己不应该舔；2，甲方没资格要求舔。,1,0,0,2023-12-15 9:50
