王自如受访言论引发讨论，媒体评论称「质疑他、理解他、成为他，才是年轻人的出路么」，反映出什么社会现象？,gender,comments,likes,updated_time
第1步和第2步可以走，第3步走不通。你怎么成为王自如啊？人家这个身段可硬可软，既有对理想主义的追求，同时又能够非常好的融入格力之中。要有能力是有能力可以出来单干的，要有结合力也是有结合力可以团结的。董明珠可能年纪稍微有那么一点点成熟，但绝对不是傻。这么说吧，如果你是董明珠不培养王自如，难道培养孟羽童吗？当然孟雨童也不是 质疑 理解 成为 超越，可以碰瓷儿碰得上的，我前几天看有一个新闻说她什么这半年挣了400万，反正我作为一个打工人，一辈子都挣不到400万。不在我自己智商范畴以外的钱，我觉得一分钱也挣不到，即便挣到了，也会以某种方式还回去，所以就不要去羡慕人家，过好自己的日子，降低期待就可以了。,0,0,39,2023-11-17 10:27:39
王自如的格力战绩？,-1,0,0,2023-11-17 10:27:15
大家好，我是热点舆情事件中永不缺席的分析君~~~~近日想必大家都被一个人刷屏了，因为一段发言，节选一些给大家赏析一下：“我没有看过格力给我的工资条” “能不能给我一间离你比较近的办公室，我要随时向您汇报” “我哪怕每天什么事都不干，我就看她怎么开会，我听她每天讲什么、做什么，我都觉得是一件很幸福的事” “刚毕业的年轻人一定要学会心态归零” ……大家啥感受？一开始吧，很多人觉得这也太舔了！一般人可说不出口！但是吧，很快风向又变了，为啥呢，因为有人提出，人在职场身不由己，卑微打工人们对着自己的上司除了夸还能咋滴？大家各执一词，吵得不可开交，也成功的，让这个男人在热搜上住了两星期~王自如，不知道大家了解多少，这里做个简单介绍：评测机构ZEALER 创始人，曾被称为“评测一哥”。凭过硬的英语成绩跳过初中直升高中，再由西安翻译学院跃至香港理工大学。在香港，王自如买下人生第一台Mac并做了一期开箱视频，从此开启十年评测创业路，吸引了一群对数码产品的热爱的人。2011年底，王自如的团队成员越来越多，播放量的蒸蒸日上，TechMessenger也正式变更为评测机构ZEALER。2012年7月，雷军的顺为基金为王自如的ZEALER带来了200万元的天使轮融资；2014年4月到8月之间，ZEALER分别拿到了OPPO、金立、步步高三家共计600万元的A轮投资；2015年1月，ZEALER进行了B轮融资，资方是腾讯系的深圳市利通产业投资基金有限公司。2014年8月27日，有乔布斯继承人、行业冥灯、脱口秀演员等坊间戏称的罗永浩，向王自如发起了一场公开辩论，史称互联网第一约架。这场直播让王自如和ZEALER彻底出圈。此后ZEALER大转型，现在已经是一个已涵盖消费电子、智能家居、出行方式、娱乐游戏等全方位的科技生活内容平台。2021年6月，王自如正式加入格力电器，出任副总裁，开启了他人生的新篇章。这一次的争议也是与此相关。2023年11月6日晚9:15分，《财经郎眼》特别策划“问答八方”第二集，主持人张春蔚和格力董事长董明珠、格力电器渠道改革项目负责人王自如进行三人对话。关于这段采访及他的言论，已在全网被反复传播。（就文章开头给大家赏析的那段）11月7日，“金融界”等财经博主将采访视频内容提炼传播，引发网络关注。11月14日，因为主持人金星发布博文称“口含明珠，进退自如。（转自一网友的评论）”（该内容已删除），被网友认为是在暗讽董明珠和王自如，让本来逐渐消退的热度又高涨了。11月15日，金星回复网友，称：“我们园区有位清洁阿姨也叫明珠，还有个快递小哥也叫自如…咋滴啦？”，疑似否认暗讽董明珠和王自如。11月15日，有媒体报道，猎豹移动CEO傅盛在朋友圈发表对王自如的看法。傅盛表示，“我只能说，王自如不仅是个吃软饭的，而且是个流氓。不是被格力包养的时候他是流氓，而是之前就是个真正的流氓。”之后，其再发朋友圈称：“无论如何骂人都是不对的，我已经第一时间删除了该内容，也希望媒体和朋友们不要传播和过度解读。希望大家多多关注猎豹猎户即将发布的大模型”。根据识微商情舆情监测系统（王自如舆论口碑变化➡）分析，11月6日0：00-16日15：00，王自如争议事件的网络相关信息量约29万。15日，因金星的回应及傅盛的发声，当天舆情热度达到峰值。传播平台分析从传播平台来看，关于王自如的讨论集中在视频媒体类平台上，占比53%；其次是社交媒体媒体类平台，占比31%。网络情感分析对于王自如在《财经郎眼》采访中的发言，引发了大众对于职场中上下级如何相处的话题展开，观点分歧相当大，评论类信息占比70%，原帖、转发分别占比16%、14%。从情绪上看，倾向中立性表达为主，占比58%，正面、负面占比均是21%。从具体观点看，有人“理解王自如、学习王自如、成为王自如”；有人不屑于王自如讨好风格；有人不满于金星和傅盛言论；有人则不站队纯粹看个热闹。值得注意的是，因近期格力股价蒸发了50个亿，有部分人将此归因于王自如。网络代表性观点：——我是认为，王自如活该发财，他真的容易让老板喜欢，说的做的都符合老板的心思，理解自如，羡慕自如，自愧不如！——其实大家这么使劲的吐槽王自如，根子里的情绪无非却是：只恨自己没有这么一个“口含明珠”的机会。——如果是我，被马云喊去当高管，我可能比王自如还谄媚呢。。我见过太多高管在一把手面前的处世态度了，换谁都一样，只不过王自如面对了媒体镜头而已，没必要苛责。——真希望傅盛和金星这样的大佬，多多发文开怼，多为大家提供点吃瓜素材。——先攻击别人引来流量，然后趁机宣传自家产品，只能说，这操作，很傅盛。——到处都是各种王自如，你讽不过来的！！——还有人吹他啊，这种人在职场上是最坏的，被资本pua傻了吧，他就是那种绝对利己主义者啊——yue了，真油腻！——看完王某如的言论，我唯一的想法是以后能不买格力的产品就不买，什么掌握核心科技，全是智商税。——黄谣又造起来了。,-1,0,0,2023-11-17 10:15:08
这两天全网收获最大骂声的，除了李佳琦，应该就是王自如了。“我没有看过格力给我的工资条”“能不能给我一间离你比较近的办公室，我要随时向您汇报”“我哪怕每天什么事都不干，我就看她怎么开会，我听她每天讲什么、做什么，我都觉得是一件很幸福的事”“刚毕业的年轻人一定要学会心态归零”……就问哪个打工人看到这样的话不生气？而且这话还是来自王自如，一个曾经以独立科技测评为旗帜在圈内走红的意见领袖。王自如真正惹人厌烦之处，其实还不是这些违反常识的肉麻表达，而是他堂而皇之就捅破了那层在整个东亚文化圈多少都存在的“跪式”职场文化的窗户纸——在上下级面前，独立人格和尊严不值一提。但王自如其实不是这起闹剧的关键。也有人说，如果把这起事件中的性别互换，大家的不适感会降低很多，这其实同样是在用性别对立的语境掩盖更多真正的议题。那组镜头中真正最让人不适的，不是王自如的表达、也不是董明珠与王自如之间的眼神传递，而是曾经被认为有战略远见和卓越判断力的中国企业家代表董明珠，对这样赤裸裸的媚上表达，甘之如饴。一格力今年风波不断。就在几个月之前，被董明珠一手捧红、甚至被她点名为接班人的孟羽童，在争议中悄然离开格力。坊间有很多关于格力和孟羽童的传闻，一方认为孟羽童不珍惜机会、忘恩负义，还经常迟到早退；另一方则力挺后者，孟羽童在格力的收入以及格力为她规划的方向，显然并不适合她。无论真正原因是什么，这起“接班人”炒作最后的结果就是一地鸡毛，孟羽童和董明珠的联合带货一直效果惨淡。而即便是董明珠亲自下场直播的第一年，也同样面临很大的争议。从数字上来看，13场直播的销售额高达476亿元，撑起了当年格力总营收的1/4。但这个略显夸张的销售额，在当时就引起了业界的“刷单”质疑，当时有消息传出，格力要求供应商渠道在线刷单支持直播。起码从品牌上来看，格力的年轻化尝试和直播间转型又一次失败了。即便有董明珠加持和足够的曝光度，在直播间，董明珠也没有像俞敏洪那样找到自己的董宇辉；格力也没能成为新东方，没能把明珠羽童精选打造成为下一个东方甄选。董明珠和孟羽童之间，总不存在性别问题了。据公开资料，董明珠称她与王自如相识多年，只是中间断了联络，后因一次京东直播的偶然机会才重新联系上。这一“偶然机会”指的是2020年5月格力入驻京东十周年庆直播，那场直播活动由王自如担任主持人，与董明珠及京东高管对谈。那场直播创下了当时家电直播带货最高成交纪录，成交额突破7.03亿元。而这或许才是孟羽童消失几个月后，董明珠和王自如会又一次出现在我们视野的真正原因。这也反过来进一步证明，董明珠期待增加曝光以实现格力渠道转型的企图。相比其他竞争对手，多年来，格力商业模式的核心竞争力，某种程度上“掌握核心科技”都不是第一位，经销商渠道才是。格力通过与大型经销商交叉持股的方式，搭建了一个极具粘性的经销商网络，让格力在过去那个以渠道为王的时代，统治了空调市场20多年。格力曾经最引以为豪的是，线下有三万多家经销商。彼时的格力，甚至可以与国美的黄光裕叫板，就是不进国美的大卖场。但当李佳琦和薇娅的双十一销售额可以等于A股几千家上市公司一年营收，当国美办公室都已经人去楼空，世界已经变了。二随着房地产逐渐步入饱和阶段，空调市场也进入存量市场时代，空调消费自然受到影响。奥维云网数据显示，2020年-2022年空调零售市场遭遇三连降。并且空调的保有量已经处在较高水平。尽管业绩还在增长，但格力电器正在面临“中年危机”是不争的事实。董明珠当然看到了这种变化，她也依然还在寻找格力通往数字新世界的正确道路。但是，恰恰是这种迫切转型的焦虑，正在掩盖董明珠作为企业家的判断力，而这可能才是格力集团潜伏的最大危机来源。看看董明珠给王自如的职位吧——格力电器渠道改革项目负责人。他给格力电器分公司的讲座，主题也是解读格力的新营销模式数字化系统。可一个负责企业数字化转型的高管，对外却以一种极为不堪的方式展现了格力的媚上文化，这对格力品牌来说，固然增加了曝光，但这种曝光真的是好事吗？面对这样的“同行”王自如，相信市场上所有的CIO们和在数字化转型领域的有识之士，都会耻与其为伍。数字化、线上化转型当然并没有错，也是大势所趋，但我想对董明珠说的是，她所依赖的工业时代渠道的营销为王的打法，已经不再适应当下这个移动互联网时代。关注度曝光和流量不是一回事，数字化转型也绝不是仅仅找到一个具有流量的带头人、制造一个全民关注的噱头，简单把线下搬到线上就能成功的，这背后是一个巨大的复杂系统工程。看看真正“掌握核心科技”的华为，它现在甚至连发布会都不开，新手机就在全网卖爆；看看以疯狂和夸张为噱头的小杨哥，他们疯狂把价格打下来背后，是精准地抓住了这个消费降级为王市场的需求；再看看在海外刷屏的temu、shein，价格和供应链整合能力使得他们所向披靡……这些看似和格力并不存在直接竞争关系，但这些公司背后，真正隐藏的是数字时代企业商业逻辑的巨大调整。对于董明珠来说，当务之急可能并不是找到孟羽童的接班人，更不是以这样一种令围观者起鸡皮疙瘩的方式博取关注——她可能没有意识到，这种关注无论是对于王自如还是对于格力来说，大概率没有任何商业价值可言。现在更需要做的，是回到格力本身，能不能真正去理解和感受用户的底层需求、能不能带来真正具有颠覆性的产品创新、能不能更好地整合自己的能力，在增量市场寻找新蓝海，这些才是长期有益于格力的动作。,-1,1,29,2023-11-17 10:11:23
生活不易，,1,0,1,2023-11-17 10:09:15
多么怀念那个马屁拍了就有回报，拍法技术粗糙，想拍排队人少的时代。那时董阿姨一如今天，笑靥春风。但身边坐的不是王自如。,1,0,0,2023-11-17 09:44:34
某个行业应该规范经营比如向邻国学习,0,0,2,2023-11-17 09:23:10
反映了社会上的大部分人的智商感人~王自如站在一个企业家，一个既得利益者，当着老板这么说没毛病你看董大姐笑得多开心董大姐不知道王自如说的是假话么，知道啊，但是人呢，就喜欢听假话，假话听多了也就信了。再者说了老板都是孤独的，这番言论站在企业主的角度上来说没毛病~~全网很多人嘲笑王自如，嘲笑个锤子呢，一场和罗永浩的论战已经让他声名鹊起，这次又翻红了一把，人家才是全网的赢家。我们大部分打工的人无法蹿升到管理岗位是因为很多时候我们只站在自己的角度，自己的利益上看问题，无法共情站在公司角度，站在老板的角度去看和发表言论，所以注定是和企业家是对立面。作为老板，作为管理者，我怎么能允许这样的人上位呢，这不是给自己找麻烦么~~所以说网友大部分都是稚嫩的~~~,1,0,0,2023-11-17 09:13:30
能让董明珠看上的人，肯定也不是一般的人。王自如，人如其名，当然也是让很多人自叹不如的人。两个人面对面接受访谈，大家知道会是怎么样的一种场面？这个事对两个人来说，屁事都不算。作为职场的打工人，第一的素质就是对公司表现出专一，王自如和孟羽童的差异，就是来自这里，孟羽童离开格力，是因为红了以后，私自去接活，而没有经过格力！但王自如却不同，他虽然是深谙媒体运作之道，但他入职了隔离后，身份转变非常彻底，他完全放弃了媒体人的身份，甚至停更了自己的社交媒体。而这一切，都是体现他对过去的割裂，以一个职业打工人的身份，参与到格力的管理，这的表态，对于董明珠好格力来说，都是非常受用的。,1,0,0,2023-11-17 09:12:35
被包养是年轻人出路的话，我不如去跪舔我爹妈。我只是说与其被包养我宁愿啃老而已……你们为啥都觉得好像我爹妈多有钱一样……,-1,11,80,2023-11-17 08:59:09
大家还是小看了王自如，这个提问，我都觉得是格力自己花钱买的流量。2014年王自如跟老罗辩论时，大家猜猜王自如才多少岁。答案是26岁，我们来解析一下王自如这个人，你就会很惊讶他在机会选择和把握机会这两块强大到可怕。他的人生分为与老罗辩论前，及与老罗辩论后。在与老罗辩论之前的，王自如在黑龙江参加的高考，他的数学很糟糕，英语很好，高考失利后，他果断的在2004年选择到西安翻译学院这所民办本科学习英语。其实在2004年以后，英语这个专业就不是很好找工作了，大多数学英语的同学就业方向是翻译和教师。我们来看一下王自如用英语干了啥，他在2005年YouTube挂网的第一年，电信行业爆发，就发现了电子产品这个赛道，很多人发现了电子产品之后就开始学编程，王自如深知自己数学糟糕，逻辑能力不行，你猜发现了什么。他在2006第发现了电子产品测评这条新颖的赛道，那个时候还不叫测评，叫做开箱。我记忆非常深刻的是王自如自购了iPod nano、iPod Shuffle，乔布斯的苹果那些年总是发布一些惊为天人的产品，那些年哪个年轻男生不对老乔崇拜的一塌糊涂？大家知道这张图片有多少电子发烧友至今还保留着，家里挂着海报吗？王自如就是从2008年开始在优酷开始了开箱之路。王自如厉害的地方就在于，别人开箱就是单单说个手机外观，他的英语能力较强，在没有google翻译的时代，手动翻字典把苹果官网的电子产品解释扣下来，然后解释给各位电子发烧友听。到了2009年，香港高校在内陆招生，那时候的香港高校可不像现在，又是GPA，又是第一学历要求，只要是人，能过雅思就要。王自如拿到了香港理工大学的offer，到了香港这一年，他彻底的打开了自己的评测职业生涯眼界，你可以看到从2010年起，他可以非常专业的把互联网信息收集起来，然后逐帧剪辑，在视频平台给大家进行开箱。那一年他才22岁，就彻底抓住了这个商机，成为了中国第一代电子测评网红。那时候的优酷还没有打赏功能和作者激励，但是王非常坚定这一块有市场。在香港红磡租了一套50平的房子，请了两个助手，白天自己出去上班赚钱，养活两个懂技术懂剪辑的助手进行视频创业。看过他的视频的人应该记得，他的视频背景大多为苹果系的颜色，简约，纯净，在那个年代看起来视觉冲击力明显。你能猜到他租的工作室只有50平大小的拥挤房屋吗？我反正没猜到。到了2012年他创办了zealer，拿到了雷军给他的投资，我很清楚的记得，他还出了一套视频专门讲科技融资这个事情。2012到2014年这段时间，王自如的科技测评网可以说风光无二，国内没有能够匹敌的IP，只是那个年代互联网流量并不够大，否则他很可能成为中国第一科技带货网红。写到了这个地方，这是一个25岁就能拿到雷军和其他天使投资的年轻人，大家还觉得他是吃软饭和能力低下么？2014年，他遇到了终生之敌，另一个学英语的创业者老罗。这两个人其实都不懂技术，但是抓流量和机会的能力远远超过一般人。2014年，王自如在跟老罗辩论后整个事业跌入了低谷，王自如毕竟比老罗年轻17岁，一个新兵蛋子，哪能干的过靠口才和逻辑吃饭的老罗。那场直播后，王自如的手机测评融资确实搁浅了，这个市场讲公正？那绝对不可能，但是老罗就像把一个小姑娘的衣服脱光了暴露在众人面前，让市场失去了对第三方机构的投资兴趣。其实约架这个事情，王自如是为了抢流量，老罗的锤子手机也是为了抢流量，但是问题在于老罗对人性的了解远远比26岁的王自如更深入。这里面我一直有一个怀疑。老罗自己说给了王自如钱，王自如也收了。但只给了明面上的钱(老罗当时手头也不宽裕)，出来的视频还是把锤子喷的一塌糊涂。但这只是一个起因，老罗的公司既然没给Zealer下线的钱，Zealer就开始不讲武德了，大公司得罪不起(你看王自如批大公司从来不批旗舰机，像华为这些都批老年机型)，王自如就觉得不如把锤子旗舰当靶子来打。想通过批锤子引起热度，去拿其他大公司更大的单。你分析一下老罗这个人就知道，老罗其实是一个情商很高的人，他一般不主动攻击人只主动攻击事儿，但是在约架时如此不留情面。我觉得很大的可能就是王自如这事做的太不地道，批人家旗舰无异于断人家生路，老罗做锤子欠了几个亿这事大家都是了解的。再回来，当年的王自如还是太年轻，最初阶段，测评锤子的视频出来后，锤子科技在网上反击的声音很小很小，但句句戳心窝子，尽管戳，但也不会真伤到当时风光无二的sealer，但王自如自乱了阵脚，选择应战。其实最好的办法是什么？就是不搭理。。。让热度消失。结果还被老罗套牢了。。。王自如的Zealer在2015年以后就开始逐步下滑，下滑的核心原因并不是老罗，是智能手机的功能创新减少，手机芯片性能过剩。并且很多厂商都被淘汰了，大家对手机测评的观看需求也在下滑。所以Zealer也做了很多其他电子产品的尝试，依然热度不高。以至于他把更多的心思放在了综艺和科技推广上。但即便如此，他还是获得了不少红利，参加《青年中国说》，主持《创客星球》，参加《我是创始人》，《共赢海上丝路》。单就《创客星球》一项，你说王自如没赚到钱？他大概率已经实现了财富自由。并且在2016年的《我是创始人》中，就已经和董明珠相谈甚欢，心领神会，心旷神怡。记住，抱上这根大腿时，自如哥才28岁，兄弟姐妹们，我们都可以思考一下21，26，28岁时我们这三个节点在干嘛。到了2019年之后，你我几乎很少在互联网再看到Zealer和王自如的身影，但是我估计他自己也没少通过投资赚钱。因为他确实是国内第一波接触科技投资的年轻人。2021年加入格力，成为副总裁之一。这种彪悍的战绩，可不是单纯的吃软饭能做到的。其实“口含明珠，进退自如”这个事情，对王自如来说最大的好处是什么？大家思考一下，就是重新回到大众的视野。他和69岁的董明珠到底有什么，这重要么？答案是没有那么重要，但是他把流量立的那么高就很重要，因为格力是一家混合制国企。总要有人接班。而董明珠也69岁了，你再回想一下，格力这么多年最大的特点是什么？答案是的董明珠自己营销董明珠，把董明珠三个字当作活招牌，自带流量。随时随地背个摄像机拍自己发脾气，女强人是如何掌管500强的，就连王健林在跟董明珠接触后，也学会了“跟拍营销”。继续思考，王自如21年就加入了格力，就像销声匿迹一样，是不是到了孟羽童离开了，格力热度下降了，镜头才给到他的？这就是“跟拍营销”，每句话都是设计好了的。实际上看格力历史就知道，董明珠传绯闻这种事情就不是第一次。格力造手机，搞直播这些事情，没有王自如的身影？不可能的，你甚至可以大胆怀疑网上这么多铺天盖地的董明珠的消息，就是格力和各大网络媒体平台的合作，出钱买的流量。包括孟羽童跟董明珠的“肥皂剧”，你觉得这里面没有王自如这个网络信息部副总裁的身影？动动脚趾头都知道，是谁在操控舆论。甚至包括传董明珠和王自如的绯闻，这件事本身，就是格力团队自己推动的。否则你猜猜金星会开一家上市国有企业总裁和副总的玩笑么？很大可能就是造势，打造一个比“董明珠接班人”更有噱头，更牛的肥皂剧。对于王自如自身来说，今年36岁的老王显然已经不是当年的那个嫩鸡儿了，老油条一个。把董明珠绑上自己的战车，开始成为肥皂剧的主编之一，而且事实就是，不管是不是真的和董明珠有什么，董总有老去得一天，把王自如这三个字和格力深度绑定，哪怕是做带货，格力的底蕴也远比单纯的网红们要深，悬疑大剧，《格力宫斗第一季：真接班人王自如的反转》。,1,18,732,2023-11-17 08:57:49
这社会，全是麻花绕路，你走的累得要死，结果一转头有人走捷径直接到终点了,1,0,2,2023-11-17 08:49:55
不要大惊小怪，只是资本遇上流量罢了，董明珠和王自如都比咱强大多了，那可都是人才，我们这些庸才，整天为人才担忧，可惜和不值，天理何在？！你就只要明白一个道理就行了，为了资本流量也可以没有下限，流量面前人人平等，名人更懂的拿捏流量！,0,0,2,2023-11-17 08:43:29
王自如只是采访的时候这么说，现实中公司少发他一分钱他也不愿意。我曾经工作过的一个公司，干了两年也没看过工资条，因为压根就不发工资条，我去找老板的助理要工资条，助理和我说，你要那东西干什么？当初进公司承诺你的工资少发你一分钱了吗？没有，你要它干什么？少了，公司给你补上，你要那东西干什么？,1,0,0,2023-11-17 08:34:21
理解什么？看问题实在表面。是这样的，我建议大家不要被王自如的口才欺骗，至于什么“之前的我厌恶无比，现在的我逐帧学习”更是大可不必。无数次的事实证明许多事情并没有表面上简单，亦如王自如所谓高情商发言也未必一定有用。你想跪着挣钱？就这想跪还有人还没门路呢。“高情商实在是职场中最基本最基本最基本的素质，即便是王自如这种所谓口才发言也真的不算是高情商顶流，说白了你跟领导没有利益关系，你无法进入领导视野，你的高情商没球用，大家都有情商你算老几？”能理解上述这段话的，会更能理解让子弹飞中师爷的话，“就这想跪还没门路呢”。什么意思？想给领导当狗多了去，你算老几？高情商就当上了？说白了，别迷信这些东西，把自己提高一下最好，除了学习这件事，任何事情努力都不重要，这也就是为什么我们的教育从来都是不教所谓人情世故，教你的都是硬知识。你如果真想进领导视野，不如拷问你爹妈有没有资源，你高情商所带来的情绪价值，是最低端的价值。家庭关系背景表，可不是白填的。,1,0,0,2023-11-17 08:29:16
人人都骂王自如，人人都是王自如,1,2,3,2023-11-17 08:15:11
宋之问，唐代大诗人，颜值很自信，才华又卓著，一句“不愁明月尽，自有夜珠来”技惊四座，可谓诗坛明珠，能跟初唐四杰一较高下。但他不想努力了。他选择走最快的那条小道捷径，即使这条小路上已经车水马龙。但是那个一把年纪的老女人似乎没有读懂他的信号，蓬门终不为他开。宋之问急了，直接写诗说：明珠可望不可亲，愿得乘槎一问津。哦，不是明珠，是明河。武则天看了之后说：知君用心如日月，but你嘴真的臭。宋之问傻眼了，他这才明白，原来因为自己有口臭，才错失了武则天的石榴裙。但他其实没发现，武则天只是找个理由打发他罢了。我想媒体评论的这个人，和相关的拥趸们，或许就像宋之问吧。总觉得自己只要愿意就可以得到泼天的富贵，却没想到自己口臭……顺便说一下武则天老师，自己还是李世民的女人的时候，就跟太子李治春风暗度，出家做了尼姑都能有手段再见李治，有机会重入宫闱。一代名臣长孙无忌，一辈子趟过多少大风大浪？结果被她整死了。她可能好色，可能老去，但不是傻了。,1,1,23,2023-11-17 07:28:30
反映的大概是社会道德和社会智商快速下降的现象。,1,0,0,2023-11-17 02:29:00
只有一个人觉得王自如的回答很正常吗？去看了原版的采访视频，王自如吹捧对顶级企业家董姐的崇拜之词，在我听来毫无波动，因为在现实里我听过更肉麻的对老板的吹捧话语。得到一个有实力大老板的看重，被授予高位后，本来就收入比较高（不用担心日常生活），对工资条肯定不会那么斤斤计较。其次，很多民企，本来就是老板的一言堂，跟老板表忠心是非常正常的啊。哪个民企高管发言不先说“感谢xxx总的信任和支持”“在xxx总的战略指导下，我们要xxxx”。只不过能被信任多久，是要看真本事的，老板最终还是要结果。,-1,0,0,2023-11-16 23:00:42
是不是当时罗永浩和王自如一起在台上做节目吵架的时候王自如走神了啊，隐约就听见老罗说的几个字罗永浩：被包养就别谈什么人格独立王自如：包养……格……立罗永浩和王自如的采访这哥们就只听关键字是吧，信息自动过滤了老罗怎么也没想到自己为另一个人无意之间指明的一个道路你小子，还得是你  结语码字不易，需要有人给我鼓励和正反馈，觉得看着还有点意思的朋友点个赞再走吧！ 我的内容也会同步更新在我的微信公众号“Winter看世界”上。欢迎扫码关注！欢迎公众号私信我交流！  搜索微信公众号“Winter看世界”关注我,1,5,65,2023-11-16 22:46:37
口含明珠，应对自如！,1,0,3,2023-11-16 22:29:21
嘲笑和羡慕并不矛盾，这也下得去嘴，佩服佩服,-1,0,0,2023-11-16 22:13:53
"得承认他说的话里有一些是有价值的1. 鸟随鸾凤飞腾远，人伴贤良品自高。一个人成长最快的方式就是跟着一个比自己段位高的人去观察学习这个人怎么为人处事，怎么如何面对问题；不过需要说明的是，观察学习不是去看这个人的什么名言观点，什么自传这种拾人牙慧的东西，而是确实的去观察实际生活中是如何处事的。这点从董明珠的成长经历和格力的经历来看，她绝对是一个值得学习的人。2. 毕业生初入职场确实要摒弃一些东西，我理解的需要变成一张白纸是说要让人觉得你有可塑性，有成长性，不要因为一些特质让人给你定性了。心态确实要有调整，尽管在大学自由度比中学高多了，但是学生在学校多多少少还是有人去赶着走的，但是在职场上没有人凭白无故想去培养你，除非你表现出来了很高的成长性，可塑性，也许会有人去帮你。至于其他的，我只能说句：welcome to the jungle, 这是一种生存策略",1,0,0,2023-11-16 20:46:25
这算不算风火家人卦呢？,-1,0,4,2023-11-16 20:31:15
先一起欣赏下王自如先生36年的辉煌岁月。早年高考失利，民办本科毕业，唯有英语拿得出手。18岁发现一条赛道，开箱科技视频，事实证明，他的眼光是领先于这个时代大部分年轻人的。21岁，拿到香港理工大学的offer。22岁，认准互联网，决定死死抓住这个商机，深耕科技开箱视频，名副其实的中国第一代电子测评网红。24岁，创办zealer，拿到了大佬雷军的投资。26岁，为了抢流量，和比他年长17岁的老罗平起平坐，约架，辩论。其实这一年，他在科技测评视频这个赛道，已经做到了几乎全国无敌的地步，照此发展，前途无量，可惜就是这人生巅峰的一年，出现了转折，可能老天也觉得他太顺了吧。他收了谁谁钱了，替谁谁讲话了，和他个人品行也不能说没有关系，这里请注意，我没有批评攻击的意思，因为人性是这样，市场和竞争是这样，只能说他太年轻，不幸遇到了老罗。此事过后，大好事业一蹶不振，他本人也经过痛苦地组装重整。遗憾的是，这或许是小小悲剧，却不一定是世俗里荣耀的起点。瘦死的骆驼比马大，前几年，他本人还是打下了一定名气的，于是后来几年，他渐渐将注意力放在综艺上，并在28岁时，在《我是创始人》，与董明珠相识。28岁到32岁，我们很少再见到他的身影，估计退居幕后发展。直到33岁，他加入格力，成为副总裁之一，再次进入大家视野，真是应了当年老罗的那句话，“人格独立”——格力。而今年他36岁，经历这件采访风波，在大家一阵胜似一阵的口诛笔伐之中，王自如本人IP已彻底和格力这个庞然大物牢牢绑在一起。是好是坏，谁赢了谁输了谁是最大利益获得者不足为外人道也。他说他没看预计年薪几百万的工资条，大家捂着肚子冷笑，骂他软饭，小丑。不妨试想，早在二十多岁就财务自由的他，堂堂格力副总裁，能力、资源、人脉，一样不缺，可能还真看不上区区百万年薪。那么问题来了，谁在冷笑，谁在嘲讽，谁是小丑？这让我们毛骨悚然，怀疑这一切，难道都是假的？其实，网络上的鄙视与嘲笑，是最无用的东西。为什么这样说？首先，媒体这个东西的属性就决定了它的价值，它在意的是流量和导向，而非真相。这个不好多说，那我们说人吧。放一张图大家就都懂了。还有当年大家公认的小丑，小阿giao。笑吧，笑着笑着，人家就成了你的人生导师展亚鹏先生。现在呢，你再看这些人，一看一个不吱声。有句话很有意思，“以前的我嗤之以鼻，现在的我逐帧学习”。说这些干嘛？想说人。再回过头今天我们的主角吧，大家纷纷嘲笑鄙视辱骂的软饭男，王自如先生。我们吃惊发现，这家伙短短36年的人生，居然有点爽文男主的味道了。最后的最后，我们会发现很无趣，真的很没意思，渐渐地纷纷沉默，开始觉得没什么好说的。这个愈发花里胡哨真真假假的网络世界，我们都隔着千山万水云烟水雾看彼此，试图同情共情，试图鄙视嘲笑，拼命幸灾乐祸。其实呢，大家都是普通人，我们都是社会主义国家广大人民群众这同一个阵营，不存在谁比谁高尚，所以斗胆希望少些嘲笑和鄙视，和站在制高点上的批判，没必要，真的，能好好生活已是上天赐予的福份。你不是他，未经他的路，怎知他心中的苦与乐。希望大家都能保持理性，在欲望的世界，有自己的判断，一些事情，当个乐子付之一笑即可，不要成为舆论和资本手中的刀剑，理直气壮做免费劳动力，奋不顾身为不怀好意者冲锋陷阵。我是人山祝安,1,1,3,2023-11-16 20:25:58
本来不想掺合奈何架不住各个平台轮番轰炸我认为做人最重要的是认清自己，而不是认清别人你根本不需要质疑谁，理解谁，更不需要成为谁无论你现在在哪个阶段，最终你都会回到自己的内心上，面对真实的自己你觉得他恶心，但是你又羡慕他的财富地位。在我看来何必呢？你能忍着恶心做到吗？你觉得你也是这种人，奈何缺一个董小姐。在我看来何必呢？成为董小姐不是更好吗？他是被包养还是董小姐真欣赏他的能力，话是不是真心实意还是职场话术，在我看来根本不重要，我只想过好我自己的人生,1,0,0,2023-11-16 19:58:49
