#张雪峰回应文科都是服务业#,Query time: 2023-12-24 13:41:06,likes
【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一 【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:25,1
【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一 【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:24,0
对复合型人才来说，文理不应该泾渭分明，对专一型人才而言，甭管你学文学理，才识足够，都可以闯出一片天！至于服务不服务的，有啥好纠结？余承东不是在给华为服务？程序员不是在给公司服务？演员不是在给观众服务？靠技术服务和靠嘴皮子服务本质没区别。张雪峰说对了一半，理科也是 对复合型人才来说，文理不应该泾渭分明，对专一型人才而言，甭管你学文学理，才识足够，都可以闯出一片天！至于服务不服务的，有啥好纠结？余承东不是在给华为服务？程序员不是在给公司服务？演员不是在给观众服务？靠技术服务和靠嘴皮子服务本质没区别。张雪峰说对了一半，理科也是服务业,2023-12-09 12:20,15
这个热搜又是张雪峰的，媒体现在追着张雪峰报道了，那大部分媒体人都是学文科的，他们觉得记者算是服务业吗？某种意义上来说媒体人应该服务于读者，服务于真相。,2023-12-09 12:20,151
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:15,1
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:15,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:15,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:15,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:15,1
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:14,3
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:14,1
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:14,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:14,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:14,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:14,0
张雪峰老师最全面推荐专业总结，赶快收藏起来～,2023-12-09 12:10,367
文科都是干服务业的？其实，不管文科行业还是理科行业，没有谁比谁更高一等，绝大多数基层打工人做都是在做“服务业”，都需要出卖自己的时间精力、知识技能、甚至尊严与健康等，去服务客户换取报酬，都需要服务客户、服务甲方、服务上司、服务公司，本质上都需要“舔”。确实因为现在的市场人才需求 文科都是干服务业的？其实，不管文科行业还是理科行业，没有谁比谁更高一等，绝大多数基层打工人做都是在做“服务业”，都需要出卖自己的时间精力、知识技能、甚至尊严与健康等，去服务客户换取报酬，都需要服务客户、服务甲方、服务上司、服务公司，本质上都需要“舔”。确实因为现在的市场人才需求，导致从就业难易程度、薪资待遇、社会竞争力来看，理工类专业普遍是比人文艺术类专业稍微好一点的，比如985文科毕业生就业薪资待遇可能不如一个普通一本的理工学生。但也并不是所有的理工专业都好找工作、都高薪、都有很好的前途，不少理工专业就业确实好就业，但又苦又累薪资又低前途很差；也不是所有的文科都难找工作、都工资低、都没前途，都要看具体的学校、所处的市场环境需求等，更不是所有人都适合去学理工科，学不懂、不喜欢某个专业，还硬是要去学，才让人痛苦难受。理工科对社会发展、经济发展很重要，人文社科对社会发展、经济发展也很重要，人类文明社会缺文缺理都不行，只有文理科都均衡发展才行，整个社会都去学理工或都去学人文，才是很不健康的现象。不能因为某个时期的就业情况，就贬低文科抬高理科、否定所有文科专业，那大可不必，不然就过于偏激和短视了。,2023-12-09 12:09,884
【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！ 【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！此后，他又在评论区表示， 做服务业没有不好，可是有的人心里过不去这道坎，我能过去，我就做服务业。你过不去，你就不适合做服务业。我是提醒以为某些专业高大上的人，他的本质，尤其是从业初期阶段要了解后在选择。非要恶意解读的，看了我的言论伤心了的，我向您们道歉。,2023-12-09 12:07,133895
也没错，不管他的本意如何。而我认为我就是个臭要饭的，🥲。 ,2023-12-09 14:00,0
哪个行业不是服务行业，无非就是服务方式不同而已，没什么高低贵贱，当然了挣多少钱确实把人分成了三六九等,2023-12-09 13:59,0
破防的是不是还没工作,2023-12-09 13:59,0
话糙了点而已啦，有什么不对吗 ,2023-12-09 13:59,0
实话扎心但却是实话,2023-12-09 13:59,0
租房子的人没责任，消防的没责任，消防自己认定的火灾损失十一万元，消防让第三人赔偿火灾五十万元，你们把钱给分了，就剩下房主自己被烧毁的房子至今无人管！,2023-12-09 13:59,6
【：没觉得这有什么所谓的不好】近日，“张雪峰称文科都是服务业”话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是 【：没觉得这有什么所谓的不好】近日，“张雪峰称文科都是服务业”话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 13:59,1
归根到底 现在有什么专业到最后不是归于服务业吗 ,2023-12-09 13:59,1
没说错 马德  姐天天上班上的想死 炒！！！！！ ,2023-12-09 13:59,0
有什么问题，我们这些普通的法学生无论是当律师还是考公，都是服务业,2023-12-09 13:59,1
难道理科生的工作不是为了给谁做项目吗好家伙，我们文科生没惹,2023-12-09 13:59,0
【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！ 【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！此后，他又在评论区表示， 做服务业没有不好，可是有的人心里过不去这道坎，我能过去，我就做服务业。你过不去，你就不适合做服务业。我是提醒以为某些专业高大上的人，他的本质，尤其是从业初期阶段要了解后在选择。非要恶意解读的，看了我的言论伤心了的，我向您们道歉。,2023-12-09 13:59,0
都别往自己脸上贴金了，拿钱好好办事是当好服务人员的前提，不管是文科生还是理科生有多少人能真正做到？下面才是真正的服务业,2023-12-09 13:59,11
//://:高阳县消防要第三人赔偿五十万元，和文书不一致，不知问题出在哪里。,2023-12-09 13:59,5
其实专业真没那么限制，我纯文科生，现在工作是机械🤣 ,2023-12-09 13:59,8
言简意赅，事实确实如此👍🏻谨慎从文 ,2023-12-09 13:59,0
其实也没说错，毕竟都是为人民服务嘛，还特意穿个带字的衣服来道歉，真是一如既往的幽默,2023-12-09 13:59,28
我们觉得这也是不好的，该道歉 ,2023-12-09 13:59,0
文科听了已经汗流浃背了,2023-12-09 13:59,0
服务业怎么了，第三产业是不可或缺的一部分 ,2023-12-09 13:59,3
【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！ 【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】近日，“张雪峰称文科都是服务业”一话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！此后，他又在评论区表示， 做服务业没有不好，可是有的人心里过不去这道坎，我能过去，我就做服务业。你过不去，你就不适合做服务业。我是提醒以为某些专业高大上的人，他的本质，尤其是从业初期阶段要了解后在选择。非要恶意解读的，看了我的言论伤心了的，我向您们道歉。,2023-12-09 13:59,1
但是这话同意的不能再同意了,2023-12-09 13:59,0
“服务”这个词很难接受吗？本来就是服务的年代，我这辈子最大的遗憾就是不能堂堂正正的为人民服务！！！ ,2023-12-09 13:59,1
我们是为人民服务的接班人！ ,2023-12-09 13:59,0
太对了一针见血一语中的 ,2023-12-09 13:59,2
【：没觉得这有什么所谓的不好，向看了言论伤心的道歉】刺激了脆弱的神经，无论文科理科，不都是服务业，只是服务的对象不同而已，都逃不了。 ,2023-12-09 13:59,1
不论文理 都是打工人罢了,2023-12-09 13:59,1
//://:高阳县消防要第三人赔偿五十万元，和文书不一致，不知问题出在哪里。,2023-12-09 13:59,5
文科都是服务业，理科都是劳工，工科都是牛马，这个b世界里只有有钱才是硬道理，没钱的你学啥都是为有钱人服务，被压榨剩余价值的 ,2023-12-09 13:59,0
莫管文理课，以后做了老师都是服务业,2023-12-09 13:59,0
忠言逆耳利于行 ,2023-12-09 13:59,0
张雪峰虽然有些挺有道理的但是有些听听就得了，现在是怎么了,2023-12-09 13:58,0
,2023-12-09 13:58,0
其实也没说错，服务业不丢脸 ,2023-12-09 13:58,0
土象真的好low好固执好武断好俗气好独断专行好控制狂，低阶星座会把土象这些特质当成“坚定、自信、有把握”，倔驴而已，谁靠近谁吃亏，听土象的你倒霉他们自己倒霉不说而已，再说了再倒霉不也有你陪衬。预约私信 ,2023-12-09 13:58,2
这不是很正常吗？考体制内不也是为人民服务吗格局打开xdm ,2023-12-09 13:58,2
文科的专业确实少 ,2023-12-09 13:58,0
其实干啥不是服务业呢？全部都是，只要和人打交道，就得有服务，只是直接和间接的区别我是文科生，我从事服务行业，我很光荣任何学科最终都得工作，别挑三拣四只要做的事情是有意义的就好，别当“社会寄生虫”就好,2023-12-09 13:58,3
文科怎么样不知道，反正我是牛马，是劳工，是无产阶级 ,2023-12-09 13:58,0
哪一行的本质不是服务业？谁能举个例子 ,2023-12-09 13:58,1
看通透一点儿，走出象牙塔的打工人都能理解，毕竟都在为生活服务于各行各业…… 有为生活服务，有为人民服务，更有为全人类服务,2023-12-09 13:58,1
