张雪峰文科就是服务业,Querytime:2023-12-23 20:54,点赞数,点评数,用户昵称,IP位置
张雪峰在一个视频里说过，他出来做这个生意、拼命想赚钱的动力，就是因为之前谈了一个女朋友，然后那个女的的爹嫌他穷，所以最后吹了，我就感觉，一个人因为操逼操不上，而拿这个事情作为做任何事的动力，你就很难想象他后续能干出什么好事了,2023-12-22 14:02,2,1,凶兆,上海
张雪峰说文科不受待见的确是事实，但没有说原因，也不会因他说的是事实就正确。文科之所以尴尬，并不代表我们不需要文科，而是相反我们还没有强大的文科，并以此来影响我们的行为与认知，若如此也不至于当今人人喊卷。文科的确不能直接带来财富，但可以塑造社会大环境及个人成长微环境，说句极端的话，很可能是有什么样的强大文科才有什么样强大的理工科。我们之所以认为理工科重要是因为我们没有意识到这一百多年来我们理工科一直处于在追赶世界最高水平的状态中，这几十年，可喜的是我们的工科已经追平，但理科还有差距，差距最大的恰恰是我们不以为然的文科。我们应该好好想想，几百年来，我们为什么理工科落后于世界水平，,2023-12-17 18:05,13,1,小红薯62447F92,湖北
张雪峰只是说文科学生就业现象，而你说的是人文社科的社会历史作用。你们两我觉得都没错，只是说的对象不是一个东西。对了，我也说个无关的东西，我们国家现在还有六亿人月均收入不足1000，九亿人月均收入不足2000（不要来杠，这个数据来自官方，不信自己查，来杠就拉黑）。可能填志愿的一些争议，能从这个收入现象来反思反思。,2023-12-16 23:30,498,1,不如读文献,上海
人得先吃饱饭，满足衣食住行，获得了尊重后才能考虑进一步的上层建筑，而不是反过来,2023-12-21 19:26,1,0,小红薯64F3C318,广东
可是……文科不论是高考，还是就业，都面临着巨大的不公平，这个不公平是张雪峰的错吗[笑哭R]有些人好奇怪啊，黑暗不是熄灯者的错，而是大喊“灯灭了”的人的错,2023-12-16 23:31,117,1,moom,江西
不知道你是不是上海人 家里面应该是中产阶级以上 那你已经超过90%的人了 像我们这些贫苦人家 张雪峰确实一针见血的给出了建议 因为大部分底层的父母自己都没上过大学 对大学的专业和就业情况也不清楚 虽然说文科是服务业是刻板印象 但也直接明了的说明大部分文科挣不到钱 让父母为孩子换个专业  否则家里面辛辛苦苦供了这么多年书 结果工作都找不到 张雪峰只是从实际角度出发 毕竟对大部分普通人来说读书就是为了找工作 挣钱 生存而已 至于你说的精神层面 先把物质层面解决了吧 毕竟经济基础决定上层建筑  古人也说过“仓廪实而而知礼节”,2023-12-17 20:00,25,1,edae,四川
...先吃饱饭再谈其他吧。脚都站不稳就想去远方了？,2023-12-21 17:08,1,0,迷茫焦虑是我没错了,湖北
可是国内的文科专业就是一坨啊,2023-12-21 09:24,2,1,Kakoo,河北
有钱和有理想都是很幸运的事，你们这种幸运的人当然不能理解张雪峰说什么了，我甚至没真正看过张雪峰的视频，但是看了你的这些，我意识到张雪峰可能只是爱听难听的实话罢了。没钱又没有特别坚定信念，没有浓厚兴趣的普通人只是为了过好自己的生活选择好就业的专业到底有什么不对呢？,2023-12-17 00:36,26,1,同载酒,北京
说别的你只想犟，说个实例吧，我爸那边有个亲戚，小姑娘家庭挺差的，但是考上大学了，能选个还不错的本科学校，她唯一的要求就是能赚钱，能早赚钱，苦啊累的都行。为啥呢，她爸没的早，她妈没啥文化只能在村里种地打零工，还有个从小就痴傻需要人照顾的妹妹，天天照顾妹妹的是谁，是年龄已经很大干不了累活的姥姥。她上大学的钱全靠亲戚帮扶和贷款。这种家庭你跟她谈什么理想，别真以为脱贫了就全是吃喝不愁过幸福日子了。你说的那些追求理想的，是张雪峰逼着她们不让去了吗，张雪峰给过不下去的要钱的人提建议，是碍着你们这些富家子弟了吗。,2023-12-17 05:16,29,1,啊对对对,河南
大哥，他的受众群体本来就不是你们高贵的上海人啊[笑哭R]我们山河四省东四省劳苦大众才需要听这些好吧,2023-12-17 20:07,22,1,momo,辽宁
文科，莎士比亚，美国人都不屑于卡脖子的学科 还被渗透成筛子的学科,2023-12-21 15:18,0,0,今天晚上去学校吃饭,湖北
支持你[点赞R]，艺术与哲学是唯二可以思考“无”这个东西学问，不从宏大叙事讲，对个人而言，思考与审视自己的生活也是很重要的，别把人当成工具，内在的完满可以让人从容地对待外界一切。相比之下，就业赚钱就不那么重要，甚至温饱也不重要，像祖师爷第欧根尼睡在木桶里，苏格拉底天天雅典街头随机拉人讲道，或是庄子一辈子“曳尾涂中”，也是让人羡慕的生活,2023-12-21 14:05,2,1,浮明001,江苏
立场不一样，对普通人来说，温饱大于思考，先解决生存问题吧，对普通家庭或者贫困家庭的孩子来说，选择一个能赚钱的比会思考的更重要,2023-12-16 14:53,129,1,Sunny,辽宁
他只是说就业[笑哭R]他并不知道所有专业的具体内容[笑哭R],2023-12-21 10:49,2,0,花露水,四川
文科除了体制内哪个不是乙方，文科管理学都是乙方都得舔，我就是人文学科硕士毕业，我舔不舔甲方我不知道？？？[doge],2023-12-16 21:41,50,1,帆帆帆帆帆,湖北
人群和人群之间本来就有壁垒，就像你不懂张雪峰夸大其词，张雪峰也觉得你不切实际，就像你已经是985文科相关教职也无法理解怎么会有学文科的找不到工作。,2023-12-17 22:49,13,1,小土水青,广东
你说的是少数人的事情，张雪峰老师负责的是大多数人的问题。而且，我不认为你说的这些方面属于文科，博士Ph.D的本意可都是哲学博士。,2023-12-17 20:32,3,1,靠脸吃不起饭,美国
他话说的难听 毕竟不是所有人都只求温饱的 他说的在理但是嘴不把门,2023-12-21 10:39,0,0,一碗tong,山东
张老师讲个体生存，你说他没有格局？说白了张老师的受众，哪一个能做到你说的这些东西？都是苦命生活的普通人罢了。真正牛逼的人根本不需要听他的东西，关心哪个好就业哪个待遇好。,2023-12-17 09:14,25,1,康～,江苏
看挺多人大段反驳或者也不容易，你们说的穷苦学生的情况我理解，这是特殊情况。你们爱国，我们伟大祖国难道发展到现在多数人都那么穷苦吃不上饭？我对张的不赞同不是随意或无端，是自己多年思考和经验的真实感受。为了稍微给自己背书下，我不得不说明我在985教书，带了十多年硕士快要带博士，而且我一直看重生涯规划重要性。我所有硕士都顺利毕业工作都挺好。在张雪峰和我这篇帖子之间，我希望你们冷静几分钟换位想想。最底线的是，给哲学，文学，音乐美术，历史，法律，社会学，心理学（部分），等等这些陶冶我们或帮助社会的或纯粹或实用的文科，一点基本的尊重。这些是人智慧的重要一环，是科技和产业的朋友但不是附庸。谢谢。,2023-12-16 20:03,4,1,名字想半天,上海
他怎么能够这么高看我，我一个学法律的还不如服务业工资高，餐厅服务员一个月工资都接近一万，我一个月工资不到三千[微笑R]我不工作性质都不如服务业,2023-12-17 09:58,12,1,只想吃肉肉,黑龙江
沪✌，抨击现实，真伟大！,2023-12-21 09:27,1,0,Kakoo,河北
接接地气吧！高贵的上海律师专家！,2023-12-21 02:16,1,0,爱喝可乐的兔子,江苏
文科有用，但对大部分人来说学文科没用,2023-12-17 02:40,12,1,点菜必点酸菜鱼,江苏
你说的是文科本身，而不是这个时代的文科，这个时代的人文知识学问已经寄了，奴才之学。,2023-12-20 23:23,2,0,赖皮蛇,吉林
同意，张雪峰的观点，是把学习商品化，学习是为了以后赚钱。,2023-12-20 23:15,1,0,果妈的育儿笔记,广东
你说的是文科的理想，但张雪峰说的是文科在中国的现实，理想很美好，但现实往往是残酷的[doge],2023-12-17 01:00,74,1,nono,上海
大家都是服务的，谁也别说谁，只要家境不好，学什么都一个德行,2023-12-20 16:33,1,1,记梦,辽宁
因为很多人的文科只是用来修身养性，并没有起到对社会有多大的贡献；相反理科生，对社会贡献的程度比文科高得多。当然如果能把文科发挥到影响意识形态的作用，那肯定比大部分理科有用，说白了还是你的知识一个向外辐射的过程，而不是你得到了多少的知识,2023-12-20 15:23,1,0,Susy,湖北
法律文科属性不强，他喷的应该是人文社科那种,2023-12-20 11:18,0,0,Sven,江苏
他真的用自己证明了新闻传播学到底有没有用，从他开始火到现在，套路一直是在说似是而非的话，被骂，然后结束，反复上热搜，保持热度，和他同期的明星都没他这么能刷了,2023-12-17 08:40,6,0,了无,黑龙江
现在国家的侧重点在于科技科技科技，解决掐脖子问题。人文社科这个东西怎么说呢，还是偏服务业，我本身也是五院法学生之一，就业已经很难很难了，况且我感觉我们国家法学生根本用不了这么多[哭惹R]所以如果我提建议，我也会让他们选理工科。人必生活着，爱才有所附丽，先解决好以后的发展问题吧，在谈什么精神追求。这是独属于这个时代的无奈[玫瑰R],2023-12-20 10:23,0,1,一条小杉杉,重庆
他说的不那么正确，但是 对于一些什么也不懂的、家里人给不了指导的“小镇青年”来说，信了他这句话的结果是更好的，比靠自己想象要强多了，换句话说，如果一个孩子的家里人没有人能分辨张雪峰的话的对错的情况下，就应该信他，离文科远点。,2023-12-20 09:28,1,0,小红薯657UFD17,辽宁
人家说的和你说的是一回事吗，扯犊子呢搁这，说一堆有的没的[笑哭R],2023-12-20 08:59,1,0,丶Citrus,江苏
人都是现实中的人，首要任务是生存，人类命运和绝大部分人有什么关系呢？真的面临全人类生存危机活下来的会是绝大多数普通人吗？智慧是天赋，智者不拘职业，更无关专业。人文的本质是思考，人类的伟大在大脑，只要保持思考就不惧消亡。物质本来就凌驾意识之上，真理客观存在，区别只在于能不能被意识到而已。哲学和艺术在学科定性之前就存在，人文社科不惧学科消亡，学科消亡不代表精神消亡。在远古时代人就知道在瓶子上画画了，人类本质上就有精神追求，我们从未停止思考。我真的觉得你有点狭隘并且小题大做了。,2023-12-17 05:05,12,1,胡不归,河北
这段话跟我高中下雨天时候的无病呻吟水平差不多,2023-12-20 02:59,1,1,小白芙,安徽
普通人不报艺术哲学，但富二代们报啊，怎么可能缺人,2023-12-16 18:45,31,1,白白,上海
你跟张雪峰说的是两个东西。他针对的是那些不知道自己喜欢什么，很多工作只在电视剧小说里面见过，基本上靠自己的想象开进行择业的高中生。这些人可能既不喜欢文科也不喜欢理科，就想找个养家糊口的工作，如果叠加了家境普通这个要素，选理科整体就业率和就业待遇会稍高于选问题，张雪峰只是把这个事实告诉家长和孩子。有坚定的信念，家境好，就业不用愁的人不会去咨询张雪峰。,2023-12-17 13:03,4,1,加油小咪,浙江
文科有用，但是文科生没用[偷笑R],2023-12-16 23:08,7,0,玥蘅,江西
从来不觉得他的认知有多高，他只是掌握了很多人不知道的信息，再利用大多数人目光短浅只看中眼前利益的特性，迎合大众售卖自己的服务。,2023-12-19 23:54,4,0,香岩医童,江西
作者可能觉得张的观点让大众对文科的价值产生偏颇，会让后来的广大青年不重视文科，甚至对文科产生蔑视，认为其无用。久而久之会使文科的地位会远低于理科，文科行业及文科人低理科一等。像古时候的商人被轻视[笑哭R][笑哭R][笑哭R],2023-12-18 08:25,7,1,浅浅盛夏,山东
我是学文科的 我觉得他说的没错啊 他谈论的是“文科专业” 不是文学 不是艺术 不是哲学这些概念 你读了书就要回报的 出来进智库也好当文秘也好做诗人也好 你都必须满足或甲方或领导或受众对你的需求 要不然你存在不说毫无疑义至少也是困难重重的 相反如果你学理科真能弄出来专利技术或者技术突破 那你就是甲方 但学文科这几乎是不可能的,2023-12-19 23:00,0,0,走了老妹,美国
这位老师，你要是有心调研一下，你就会知道现在急需用钱的人有多少了。我很多同学都是qs前100文科硕士，回来依旧找不到理想的工作。能出国留学的已经是中国经济条件比较好的家庭了，大家的诉求也仍然是尽快把饭碗端起来，更别提中西部那些乡镇家庭了。不是只有吃不上饭的贫困家庭才需要把教育变现成金钱，95%以上的家庭都是第一考虑就业和薪资。,2023-12-17 22:02,3,1,冰姿自有仙风,江苏
人文社科是一切科学的基石，但不否认这个社会端起碗吃饭放下碗骂娘，现在社会稳定，它是被抛弃的时候了，所以功利地讲学这些赚不到大钱，张老师针对的也是普通人家的孩子。换句话说，如果王诗龄去咨询他学文学合不合适，你觉得他会这么说吗？不止文学，艺术，纯理论学科，都面临着“无用”被抛弃的风险。数学是各个理工学科的基础，但纯数“没用”，所以不止文科，很多理论学科都面临一样的境地，尤其当下大环境重技术，恐怕很快挖掘机美容美发电气焊的地位也会提高不少，超过纯理文艺指日可待,2023-12-19 22:19,2,1,momo,吉林
别说这么多，你先给我点钱还房贷再说,2023-12-16 19:09,7,1,Lor罗,广东
张雪峰说的是现实，以及对象是普通人，我现在的专业是管理，要是我家很有钱，以及有其他兄弟姐妹，我没有艺术天赋我都要去学艺术[偷笑R],2023-12-17 23:33,6,1,小红薯64F482AD,英国
都没钱还房贷了，还有心思谈艺术？？,2023-12-19 21:15,0,0,起个名字也不知道叫什么,北京
屁股决定脑袋,2023-12-19 21:05,0,0,我劝你善良,河南
都没搞清楚人家的观点就来这硬杠，人家什么时候说文学之类的不好了？叫你普通家庭没背景的人大学别选这个专业而已，还他妈人类命运宇宙真理[笑哭R]，你不自己去了解了解看张直播的家长学生他们要的是什么？是他们自己本来就想选择面包，然后张给他们指明了你这个情况如何最简单的走一条有面包的路。你这真给爷整笑了[笑哭R]没有张，那些天真的孩子信了你这种人的话只会陷入无尽的后悔，你自己不看看选哲学之类专业的人出来能干啥？他们多读的那几本书，即便你不选这个专业你也有机会读，但是如果你选了这个专业，你几乎就学不到一点谋生的技能,2023-12-16 16:46,35,1,momo,安徽
今天上高宏，院长说张雪峰说的很对，因为人要么跟机器打交道（工科），要么跟人打交道（社科），哪怕是市长，他们还是要出门宣讲，让市民投他一票，归根结底还是要能说会道，通俗来讲你还是要会“舔”，大部分人读书恐怕不是真的为了做学术，所以我觉得张雪峰说的没错，你文科就是得会舔，得会说，否则永远不出色[捂脸R],2023-12-19 18:30,0,0,hjq,安徽
[偷笑R]很符合我对文科生的刻板印象,2023-12-16 21:25,16,1,月见月理解,甘肃
看了你这么多回复，感觉你好像根本没搞清楚喜欢人文和拿人文当饭吃的区别,2023-12-17 09:55,6,1,莱恩的七片海.,新加坡
但是现实情况，队于大部分普通家庭，学了文科也就是他说的那样。虽然他说的不符合美好理想，甚至有点反社会进步，但这就是中国实际。非常有能力或者有机遇或者有钱有权的毕竟占少数。对于一个普通的平民孩子，其实听他的建议走已经很不错了。,2023-12-19 17:11,1,0,国泰民安,山东
现在的盐碱地里结不出文科的好果实,2023-12-19 15:33,0,0,chchi,江苏
我觉得问题并不是出在张雪峰或文科从业者身上。这整个事件体现出高考填报志愿中影响人们做出选择的主要因素不是教育，而是就业。选择了就业前景不好的专业对绝大多数家庭影响都会很大，他们把高等教育作为未来就业的跳板，并不是受教育自身的力量驱使他们做出选择,2023-12-19 14:24,2,0,这是一个很长很长的名字,山东
很符合小红书用户的群体画像，何不食肉糜,2023-12-17 09:29,19,1,BA Nana,内蒙古
这位老师。首先，底层贫困户依然很多，看不见不代表没有，因为克扣工资吃不上饭，住桥洞，上访被打到住院。这种事情相信不难想象，尤其经过疫情的冲击，大批大批个体户破产。其次，重理轻文是国家大环境决定的，这种情况下文科就业注定要比理科困难。大多数穷人只想要一个工作吃饭而已，至于老师说的自己的学生工作顺利，说句实话，能念得起研究生的都已经不算困难了，大批大批的人念完大学就已经是极限了。最后，文科教育很重要，如果不发展文学的国家只是外国的棋子，但是，发展文学的承担者不应该是穷人，张雪峰说的很对，他错在了受众不对，他现在是网红，网红面向全体人员，富二代们才是有精力去学有利于国家发展的文学。,2023-12-18 09:56,6,1,Sing,广西
其实你的说法和张雪峰的说法并不是对立的。他劝退的是家庭条件不允许学文科的孩子，这种孩子一旦学了文科也只是希望拿它来谋生，根本不会想用它来作为精神自由的立命之所。而你所指的这些，先决条件是这个孩子本身理想主义、成绩不错且家庭有一定经济基础的。这种孩子根本不会听张雪峰的话。,2023-12-19 11:17,0,0,嘟嘟,湖南
你可以说，但是你不能嬉皮笑脸的说,2023-12-19 09:54,0,0,小红薯6428F2E2,吉林
我就说一个：如果中国没人读文科，就中国的汉奸数量来看，意识形态阵地会被西方资本世界渗透到无法挽回的地步,2023-12-17 12:57,1,1,二十二画生,山东
你说的这些都是那些很牛的人，张是对普通的大众说的！普通的文科生就是服务甲方的，众所周知！你说的是极小的一部分人！,2023-12-19 08:43,0,0,晓峰,辽宁
文科当然重要了，但是这是文科的重要，不是文科毕业生的重要，更不是你的重要性[汗颜R][汗颜R][汗颜R],2023-12-19 08:22,0,0,弯弯玩晚完完,内蒙古
文科就是个牛马[doge]我高中同学大学选的汉语言文学，然后毕业啥也干不了，又去考研，马上又快毕业了，不知道能干点啥,2023-12-17 04:02,3,1,小红薯640CAEF4,德国
上海ip，985教学。可以想到你是如何的不食肉糜，不分五谷啊。你在灯红酒绿的时候，你是不知道这个 世界上还有很多人透支自己的身体生命。去换取家庭的柴米油盐，衣食住行。对于底层平民百姓子弟来说，就业，赚钱养家是最现实的事。张说话是难听一点，但是受用的是温饱线贫困线上的学生们。不是你这类大专家大教授。,2023-12-17 13:51,14,1,六月的大斑马,西藏
人都要饿死啦，你还谈理想呢，你有理想你伟大，经济基础决定上层建筑，有钱谈理想事半功倍，没钱谈理想事倍功半。,2023-12-18 22:18,4,1,猜猜菜菜,广东
在已知目前人文社科不具备独立性、劳资关系极不平衡且文科生无力改变、经济不景气、很多小镇做题家还很需要钱来改善生活但是因为信息不足所以很容易被割信息差韭菜的前提下，我觉得张雪峰做的是好事。文科战线上的朋友最好的回击是做出点事情改变现状来证明自己做的事情是有意义的。虚无缥缈的回应只是在以另一种形式证明张雪峰的正确。,2023-12-16 15:13,13,1,Kirk,荷兰
从他发表这一番豪言壮语之后又秒道歉的样子来看他是最舔的,2023-12-18 16:45,3,0,蛇皮裙,重庆
难道读书就是为了找工作赚钱？,2023-12-18 16:18,1,0,Mr.Crowley,陕西
你说得没错，张雪峰说得也没错，张雪峰的受众群体本来就是家境不宽裕急需把教育变现成金钱的人啊,2023-12-17 21:26,5,1,冰姿自有仙风,江苏
他是为了炒热度啊 没发现他每隔一段时间就蹦出来骂文科再道歉 然后又引起一大波讨论 大家是不是忘了他还有公司要养啊[笑哭R],2023-12-18 16:04,1,0,小红薯640DD9B8,河南
如果你是留爷艺术生文哲生我还能理解一点，如果你就是个普通人靠工作温饱，共情不了一点[微笑R],2023-12-18 15:35,2,0,小紫薯12138,英国
评论区都是大理想家[色色R],2023-12-16 17:40,45,1,能不能一天睡十二个小时,福建
211 以下学什么专业都差不多，别什么文啊理啊的，都找不到工作[doge],2023-12-17 14:39,1,1,刘同学超机智,上海
不是每个人都只想升职加薪 帮助有需求的人 但为什么要戏虐的态度 去谈论一个专业 把从事所有这个专业的人 用一个“舔” 还伸出自己的舌头 麻烦看清自己的身份 所从事的行业 别人是叫你“张老师” 不是表演艺术家,2023-12-18 15:06,0,0,🎃,辽宁
没事，这些专业王思聪等人会学的，不用担心文科的未来,2023-12-18 13:30,0,1,百善骟为先,宁夏
“教你们就业的老师说不定自己都没有找过工作”,2023-12-17 09:57,4,1,🌟Stargaze_,广东
从不否认文科的伟大，但它换不来普通人的面包,2023-12-17 12:19,2,1,快乐糊涂蛋,广东
直接说吧，学文科的绝大多数都到不了真的什么哲学大师的程度，别说当精神灯塔了，能搞懂学校课程顺利毕业就可以了。就和学理工科的也不是人人出来就能参与高精尖武器设计啊，不还是学完混个毕业开始工作？大家思想水平都差不多，没必要想什么那么长远的规划了，普通人还是想想怎么活的更好吧。,2023-12-18 13:05,1,0,好难取名字啊qwq,广西
老师，我说一个可能和前面都无关的话题，就是关于在上海上大学这件事本身，我有很多朋友去上海大学或者复旦的，或者是中央美院上海校区，家境已经不差了，我最好的朋友父母在山东当地都是有地位的，但是她明确，以及多次和我提出，在上海上学本身成本就太高，她要花的钱比在老家或者其他的地方上大学的要多出很多倍，不止如此，周围的人马上要考研了，我朋友们也是喜欢上海的氛围的，但是不敢报考上海最大的因素就在于消费太高。我想说您看到的所谓的上海的学生其实已经大部分被筛选过了。[失望R]您其实真的不太了解现实社会的实际情况，和学生们到底在想什么，而且朋友也说过，上海学森因为这个氛围（光鲜亮丽）也习惯了让自己包装,2023-12-18 01:51,5,1,雨痕,意大利
我是文科生。我很幸运的阴差阳错没有学习从事传统文科专业（文法管经之类）。我很感恩文科给我思想带来的解放。但我也明白他给不了我想要的生活。一个小镇青年在当今时代洪流下能维护自己的温饱和小继续已经很不容易了。他的一两句话说的是读文不赚钱，我的一两分钟的思考是读文对我来说确实不赚钱，不足以支持我维持内心的精神世界。舔不舔的，都他喵打工的，工地和办公室搬砖的，画画的，写文案的乃至所有乙方谁不是舔？,2023-12-18 12:56,0,1,HSzm,北京
首先张雪峰说的这些都是为了他自己的职业服务的，说白了就是为了自己赚钱，但是他说的内容真的是全错吗，只能说片面而已。文科要追求的目标永远是立足在物质基础丰满之上，才能够有所发展，对于普通人来说，一日三餐都还要解决，买车买房都还要花大半辈子来拼搏，这时候能追求文化精神享受，那就是很牛逼的人了，可是我们大部分都是普通人。电视剧天道里有个台词说过，这个社会精神上的享受是从高层向底层锐减的，底层人民的精神享受基本没有，我们现在有很多物质生活很富足的人，开始追求精神生活，这是很正常，也是一个民族的前进发展方向。张雪峰只是说出底层人民说出他们的现状而已，张雪峰只有这样说才能够赚到底层人民的这笔钱。,2023-12-17 10:49,7,1,momo,广东
张雪峰没错 不可能要求每个人都不为了生计只为了所谓的理想 真正需要考虑这个层面的是整个社会以及国家,2023-12-18 12:50,0,1,Ao,湖北
感觉普遍对人文学科没什么尊重。这社会就这样了哈哈，我反倒觉得学人文学科的在我这里更有魅力,2023-12-17 18:06,3,1,CaRr0t_STAR,英国
你说的是真正的人文社会学科，他们存在是有重要的指导意义的。但是张老师则是从实际个人需求出发，我国人文建设现在确实非常初步低级,2023-12-18 11:36,1,0,yeeeee,澳大利亚
不是说了，能好好养活自己及家人的用不着听他的，人家都吃不起饭了，你谈上这个了，谁不知道传统工科局限有材料，材料还是天坑呢，你要有钱乐意学你自己学，你批判别人干吗,2023-12-16 22:41,10,1,小红薯64CD0288,辽宁
活不下去谈什么精神世界，又不是每个人的家庭都能让人后顾无忧地发展,2023-12-18 11:33,1,0,sy,日本
周围目之所及反应激烈的，都是大学老师。,2023-12-17 01:23,7,1,小晴室威酱,重庆
古代没有极高的科技不也天天打仗 正是科技的迅猛发展 核武器的出现制止了战争 世界首先是科学的 你只有先学会了科学 才能思考哲学 请问你只会哲学有什么意义么 无非全是你个人的想法罢了 现实点 那些学马哲的有什么用 不就是想进体制内 当官么 不产生任何社会价值 古往今来 有多少科学家 有多少哲学家呢,2023-12-23 18:15,0,0,momo,江苏
昨天法律界敬重的老前辈江平先生去世了。从早年民法行政法制定，到很多事情的仗义执言。很多前辈和现在仍坚持的文科人都在努力，时代的强力才使得他们中一些人显得吃力，甚至异化，但绝不是仅文科才有。理工当年的汉芯和类似事件也很多。现在除了科技，还很需要法治和社会文明的提升，而不是拆台。要吃饭要赚钱没有错，但请大家不要折辱了那些贡献和坚持的文科人。心里留一分尊重吧，一分，一毫，都好。,2023-12-20 09:14,4,1,名字想半天,上海
饭都吃不起了 谈什么理想,2023-12-19 15:27,0,0,ㅤㅤ,陕西
这些精神层面的东西就留给那些有条件的，家里不缺钱的去整吧，啃馒头过咸菜的就不要去操这份闲心了[偷笑R][偷笑R][偷笑R],2023-12-19 15:05,0,0,莫再讲,上海
我学理工科的，但是我挺喜欢人文社科的，虽然他确实不好找工作，但是人类不能没有人文社科，但是我讨厌用人文社科去搞意识形态这一类东西，无论是哪种意识形态都是思想和道德层面的绑架,2023-12-19 14:51,0,0,WeiQ 💦,韩国
你说的哲学思考，是康德在《论活力的真正测算》通过哲学思考得出的错误公式，还是黑格尔的教授资格论文《论行星轨道》中论证出谷神星不存在呢？我学了七年哲学，我觉得你就是在放屁,2023-12-19 14:47,1,0,小红薯63EC58CF,北京
你说的那些东西只要少数人文社科的尖子生来做就行了,2023-12-19 14:32,0,0,逐梦2028,安徽
一群人在一个屋子里，灯灭了，很多人去开灯就摔跤了，张雪峰说灯灭了我们也没办法，不要纠结去开这个灯，有打火机搞搞火把，先亮起来，我们找找别的办法吧。你跳了出来说，你知道这个火把是文明的延续吗？是火种是文明是传说是希望，你怎么可以不要这个火把，火把被偷了怎么办。,2023-12-19 11:09,1,0,ᅠᅠᅠ,广东
