#新闻学教授怒怼张雪峰#,Query time: 2023-12-24 15:12:51,likes
【：别被忽悠了 他害人不浅 误人子弟 】6月15日消息，此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张 【：别被忽悠了 他害人不浅 误人子弟 】6月15日消息，此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 17:39,0
新闻专业毕业多年人士表示，建议别报新闻专业。如果你是被某些人的新闻事业或新闻理想打动，不如自己做点有意义的记录，相关的能力，其实不一定需要新闻老师指点。,2023-06-15 17:36,1
【：别被忽悠了 他害人不浅 误人子弟 】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新 【：别被忽悠了 他害人不浅 误人子弟 】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 17:27,4
因为国内没多少正常的新闻学人，谁会希望自己孩子进个坑呢？ ,2023-06-15 17:14,0
优先学别的专业吧。 ,2023-06-15 17:09,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 16:55,1379
【：别被忽悠了 他害人不浅 误人子弟 】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新 【：别被忽悠了 他害人不浅 误人子弟 】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 16:53,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 16:52,166
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 16:42,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 16:42,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 16:42,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 16:41,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 16:23,167286
【：985教传播的教授粉丝量还不如我，是不是有点问题？】6月14日报道，在接受采访时张雪峰表示：“不得不承认，学新闻传播的学生中有80%是没有从事本行业的，新闻传播在曾经是很好的专业，现在每个人都是自媒体。”“一个985院校教新 【：985教传播的教授粉丝量还不如我，是不是有点问题？】6月14日报道，在接受采访时张雪峰表示：“不得不承认，学新闻传播的学生中有80%是没有从事本行业的，新闻传播在曾经是很好的专业，现在每个人都是自媒体。”“一个985院校教新闻传播的教授自媒体账号粉丝数和流量不如我一个郑州大学给排水专业的本科毕业生，这里面是不是多少有点问题？新闻传播这个专业可以在研究生阶段少量设置，但是现在二本、三本大量设置这样的专业，明明知道从业的标准是211及985以上，为什么那么多院校还在开设这样的专业？”,2023-06-15 09:30,905
【：985教传播的教授粉丝量还不如我，是不是有点问题？】6月14日报道，在接受采访时张雪峰表示：“不得不承认，学新闻传播的学生中有80%是没有从事本行业的，新闻传播在曾经是很好的专业，现在每个人都是自媒体。”“一个985院校教新闻传播的教授 【：985教传播的教授粉丝量还不如我，是不是有点问题？】6月14日报道，在接受采访时张雪峰表示：“不得不承认，学新闻传播的学生中有80%是没有从事本行业的，新闻传播在曾经是很好的专业，现在每个人都是自媒体。”“一个985院校教新闻传播的教授自媒体账号粉丝数和流量不如我一个郑州大学给排水专业的本科毕业生，这里面是不是多少有点问题？新闻传播这个专业可以在研究生阶段少量设置，但是现在二本、三本大量设置这样的专业，明明知道从业的标准是211及985以上，为什么那么多院校还在开设这样的专业？”,2023-06-15 09:25,86
正好前几日遇见学校新闻学专业的几个同学，女同学都说，新闻学好找工作，因为她们的师哥毕业后很顺利找到合适的工作！男同学也说找工作还行，因为学习的专业内容多，比其它专业学到的真正知识多！,2023-06-16 23:48,1
这个教授说“新闻红利”，那就不难解释如今新闻传播的乱象了,2023-06-16 23:42,0
角度不同观点自然不同，但是可以好好说话,2023-06-16 23:41,0
高考志愿填报：张雪峰老师谈如何选择专业，话糙理不糙（市场营销、新闻学、金融学被严重嫌弃）。,2023-06-16 23:35,49
人家为自己的孩子做人生规划，自然是根据自己的资源和孩子的情况做判断的，外人硬扯大道理是很没意思的事。 ,2023-06-16 23:30,2
学新闻的少了，教授的收入要少了不过也不能否定这是个好教授，每个毕业生都有好出路 ,2023-06-16 23:24,0
一棍子打翻一整个专业难道不极端？张雪峰说话就没有问题？靠夸张的语气营销起家的人看不起做学术研究的人真的挺可笑的。你说985的教授传播力没有你大，是因为你站到了互联网的风口上，如此鄙视新闻学，是对所有新闻学师生和从业者的侮辱。学任何专业都不应当成为被骂的理由， 一棍子打翻一整个专业难道不极端？张雪峰说话就没有问题？靠夸张的语气营销起家的人看不起做学术研究的人真的挺可笑的。你说985的教授传播力没有你大，是因为你站到了互联网的风口上，如此鄙视新闻学，是对所有新闻学师生和从业者的侮辱。学任何专业都不应当成为被骂的理由，望周知。,2023-06-16 23:23,34
果然！网红张雪峰老师最新回应后，获得无数网友力挺！6月15日，重庆大学新闻传播教授张小强发文怼张雪峰，称“千万别被张雪峰忽悠，新闻专业能文能武，进可以自主创业到互联网大厂，退可以考公务员到国有企业”，但张小强的言论却并没有得到网友异口同声的支持，反 果然！网红张雪峰老师最新回应后，获得无数网友力挺！6月15日，重庆大学新闻传播教授张小强发文怼张雪峰，称“千万别被张雪峰忽悠，新闻专业能文能武，进可以自主创业到互联网大厂，退可以考公务员到国有企业”，但张小强的言论却并没有得到网友异口同声的支持，反而是张雪峰的观点，深得人心。6月16日下午，张雪峰发帖称“我出身普通老百姓，如果家境优渥，选择更多，不存在错不错的问题！但是大多数家庭，条件没有那么好，选专业就要选能让自己吃上饭的，而不是照本宣科，不考虑实际情况……孩子找不到工作负责的不是你老师，而是你爸妈跟自己！”。不得不说，张雪峰虽然成名多年，但为人一直很接地气，也比较敢说，我想，可能正是这一点，他才一直受到很多人欢迎，看看当前客观存在的就业压力，看看高校毕业生年年递增的总人数，张雪峰和张小强谁更为普通大学生的前程着想，一目了然的事。就好比某网友的锐评“这个教授（张小强）要不要听听看自己说的话“进可以自主创业、到互联网大厂，退可以考公务员，到国有企业”这哪个专业的不能这么进退啊？”正所谓公道自在人心，选专业还是要谨慎，很多大学生毕业出来做不了对口的工作，要么是专业没选对，要么是专业没学好，而前者显然占比更高，当你只能做非专业的工作时，你想拿高工资，将是极其困难的事，从这个角度，张雪峰确实是有良知的,2023-06-16 23:22,2
【】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引重庆大学新闻学教授怒怼。发文回应：我出身普通老百姓，如果家境优渥，选择更多，不存在错不错的问题！但是大多数的家庭，条件没有那么好，选 【】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引重庆大学新闻学教授怒怼。发文回应：我出身普通老百姓，如果家境优渥，选择更多，不存在错不错的问题！但是大多数的家庭，条件没有那么好，选专业就要选适合自己的，能让自己吃上饭的！而不是照本宣科，不考虑实际情况，我没有针对任何人任何专业，我只是根据就业情况给建议！孩子找不到工作负责的不是你老师，而是你爸你妈跟自己！,2023-06-16 23:13,12
【女子手机被偷营业厅补卡时恰巧遇小偷刷机：马上抢了回来，好幸运！】6月15日，湖北黄冈，付女士手机被偷到营业厅补卡恰巧遇到偷手机的人去刷机。付女士说，在营业厅补号的时候，看进来的一个男子比较眼熟就多看了两眼，恰巧看到他掏出被偷的手机，就马上走过去抢了 【女子手机被偷营业厅补卡时恰巧遇小偷刷机：马上抢了回来，好幸运！】6月15日，湖北黄冈，付女士手机被偷到营业厅补卡恰巧遇到偷手机的人去刷机。付女士说，在营业厅补号的时候，看进来的一个男子比较眼熟就多看了两眼，恰巧看到他掏出被偷的手机，就马上走过去抢了回来。目前，警方已介入处理。,2023-06-16 23:07,0
正好前几日遇见学校新闻学专业的几个同学，女同学都说，新闻学好找工作，因为她们的师哥毕业后很顺利找到合适的工作！男同学也说找工作还行，因为学习的专业内容多，比其它专业学到的真正知识多！,2023-06-16 23:48,1
这个教授说“新闻红利”，那就不难解释如今新闻传播的乱象了,2023-06-16 23:42,0
角度不同观点自然不同，但是可以好好说话,2023-06-16 23:41,0
高考志愿填报：张雪峰老师谈如何选择专业，话糙理不糙（市场营销、新闻学、金融学被严重嫌弃）。,2023-06-16 23:35,49
人家为自己的孩子做人生规划，自然是根据自己的资源和孩子的情况做判断的，外人硬扯大道理是很没意思的事。 ,2023-06-16 23:30,2
学新闻的少了，教授的收入要少了不过也不能否定这是个好教授，每个毕业生都有好出路 ,2023-06-16 23:24,0
一棍子打翻一整个专业难道不极端？张雪峰说话就没有问题？靠夸张的语气营销起家的人看不起做学术研究的人真的挺可笑的。你说985的教授传播力没有你大，是因为你站到了互联网的风口上，如此鄙视新闻学，是对所有新闻学师生和从业者的侮辱。学任何专业都不应当成为被骂的理由， 一棍子打翻一整个专业难道不极端？张雪峰说话就没有问题？靠夸张的语气营销起家的人看不起做学术研究的人真的挺可笑的。你说985的教授传播力没有你大，是因为你站到了互联网的风口上，如此鄙视新闻学，是对所有新闻学师生和从业者的侮辱。学任何专业都不应当成为被骂的理由，望周知。,2023-06-16 23:23,34
果然！网红张雪峰老师最新回应后，获得无数网友力挺！6月15日，重庆大学新闻传播教授张小强发文怼张雪峰，称“千万别被张雪峰忽悠，新闻专业能文能武，进可以自主创业到互联网大厂，退可以考公务员到国有企业”，但张小强的言论却并没有得到网友异口同声的支持，反 果然！网红张雪峰老师最新回应后，获得无数网友力挺！6月15日，重庆大学新闻传播教授张小强发文怼张雪峰，称“千万别被张雪峰忽悠，新闻专业能文能武，进可以自主创业到互联网大厂，退可以考公务员到国有企业”，但张小强的言论却并没有得到网友异口同声的支持，反而是张雪峰的观点，深得人心。6月16日下午，张雪峰发帖称“我出身普通老百姓，如果家境优渥，选择更多，不存在错不错的问题！但是大多数家庭，条件没有那么好，选专业就要选能让自己吃上饭的，而不是照本宣科，不考虑实际情况……孩子找不到工作负责的不是你老师，而是你爸妈跟自己！”。不得不说，张雪峰虽然成名多年，但为人一直很接地气，也比较敢说，我想，可能正是这一点，他才一直受到很多人欢迎，看看当前客观存在的就业压力，看看高校毕业生年年递增的总人数，张雪峰和张小强谁更为普通大学生的前程着想，一目了然的事。就好比某网友的锐评“这个教授（张小强）要不要听听看自己说的话“进可以自主创业、到互联网大厂，退可以考公务员，到国有企业”这哪个专业的不能这么进退啊？”正所谓公道自在人心，选专业还是要谨慎，很多大学生毕业出来做不了对口的工作，要么是专业没选对，要么是专业没学好，而前者显然占比更高，当你只能做非专业的工作时，你想拿高工资，将是极其困难的事，从这个角度，张雪峰确实是有良知的,2023-06-16 23:22,2
