如何看待2024年放假安排？除夕不放假？,gender,comments,likes,updated_time
国庆七天，十月一日春节七天，一般在一月末二月初间隔四个月。那最好在六月份还有一个长假。但是五一比较尴尬，时间卡的不好，差了一个月，本来把五一变成七天是最好的。全年三个小长假，还调啥休。现在也可以这样，五一放三天。七到八月再整出一个三天假期，比如七一建党节放三天。这样全年假期比较均衡。,0,0,0,2023-12-08 22:26:09
他们企图唤醒起夜家的良心,-1,0,0,2023-12-08 08:15:55
我提供一个其他视角，供大家参考。首先上个问题：看到本答案的各位大佬，发布放假安排之后，是否影响了您除夕当天回家团聚？1=不会，2=会。大家如果愿意凑个热闹，可以评论区留个记号。我们来看看哪些人不会受到影响（按答主身边可见的人群，按人数排序）：1.非正式工作人员，包括农民工、工厂工人、小商贩等等。这些人不受放假安排影响，该提前回还提前回。2.民营企业良心版：老板统一多放一天假。3.民营企业普通版：除夕当天调休一律通过（注意，这里面很多人可能平时不敢提调休或者不批，但是除夕那天得批）4.民营企业黑心版本：我不想批调休或者多放假，但是留一帮人官方摸鱼，且上下游合作伙伴全都放假了，我单独开工没有意义，还不如回收一天调休。于是也无薪放假或者提调休都批。5.国企、各种事业单位：不用操心，肯定灵活处理。6.除了上述分类，其实没几个人了…总结：除了一些特殊值班岗位，其他人差不多都正常回家过除夕了，但这些值班岗位，其实也不受放假安排影响，该值还得值。这样安排可能确实是响应另一个吐槽：不要连上7天。但如果吐槽假期太少了，确实也可以吐槽，但其实不是这个放假安排对口的问题。,1,0,1,2023-12-07 18:01:20
管公司放不放呢，我给自己放！除夕全天我一定要在家，如果不能，就把公司开了反正社会又不缺我这个小燃料,0,0,0,2023-12-07 13:22:32
赌打工人只敢抱怨，赌打工人不敢做出出格的事，赌打工人只会逆来顺受万幸的是，他们赌赢了,-1,0,0,2023-12-07 09:40:42
底线 抗压测试？,-1,0,0,2023-12-07 08:51:51
GDP的增长不是为了大家伙的幸福的日子来的吗 如果不是 增不增长还有个迪奥用呢 不会因为你要装逼就让大家当炮灰吧 都是一辈子 凭什么呢,-1,0,0,2023-12-07 07:50:47
所以韩国人申请春节非遗有什么错呢？你自己都不要的东西,-1,0,1,2023-12-07 02:00:59
我们公司就除夕就放假了，很贴心吧，但是，但是，我们初八上班，妈卖批，国家不会这么干，要你操心！,-1,0,0,2023-12-06 20:39:57
窗花鞭炮扫房甚至年夜饭都没空置办，你说弘扬传统文化我都想笑，还天天说人家韩国偷呢，我觉得给他们挺好还能给弄的像样点，自己也没当盘菜为啥不成全别人，好多年后没准还得指着别人记起自己过年都该有什么习俗呢,1,0,0,2023-12-06 17:39:05
物尽其用，逐步挑战底线，毕竟新生牛马越来越少了。,1,0,0,2023-12-06 17:39:00
背景：我们是一家日本全资子公司在国家发布2024年假期通知的一个星期之后，我们公司公布了2024年公司日历，一年的就不贴出来了，就放一下2月份日历休息14天，上班15天，大领导说你们中国人很注重过年的，很多都要回老家，就多放几天好了。对，我们中国人真的很注重过年，所以我不明白为什么外国人都知道我们很注重过年的，某些人在排日历的时候居然大年夜不放假,0,0,0,2023-12-06 09:53:44
随便在哔站上找了几个视频的评论区，感觉其实很多人对于除夕撇出法定节假日其实都没啥意见。主要观点大概可以概括为：1、绝大多数单位都领导也要放假，因此肯定让你提前回家，因此除夕不放假＝过年多了一天隐形的假。2、不放假是你自己的问题，有那么多放假的企业，你找不到是自己的能力问题，怪不了别人。3、过去也不放假，为什么现在不放接受不了了？感觉都挺有道理的？不好评价。,1,0,0,2023-12-06 09:14:11
很好啊。以前除夕也不是法定假，然后公司这一天会让家远的同事不用上班，一般都是本地人和领导上班半天吧，福利好的公司单位甚至大年二九就放了。后来改成除夕法定假了，很多公司再没早放过。。。。那些说要回家做年夜饭的，如果只你一个人忙活年夜饭，上班不失为一个很好的理由，然后动员全家一起做年夜饭。如果本来就是全家人都会帮忙活的，应该也能搞定吧。,0,0,0,2023-12-06 07:26:21
关于之前发的2024春节放假亮点 特别像wachi乐队的歌词“狗屎之中 打捞星辰”,1,0,1,2023-12-05 21:50:21
多放一天假会爆炸？,1,0,0,2023-12-05 16:24:27
想到了有段时间流行的卖假药的“神医”他们说自己做出了一个违背祖宗的决定还说是为你好,1,0,0,2023-12-05 16:12:27
只有对社会没有用的人才会放假。过年？过什么年？,1,0,0,2023-12-05 14:27:08
happy lunar new year！（甚至莫纳什大学24年过年都放假）,-1,0,0,2023-12-05 12:47:30
国家的意思是默认公司在除夕那天会放假，这样我们就多一天假了。我们公司在除夕也确实会放假，但是默认扣你一天年假，没年假的默认请假一天。6,1,0,2,2023-12-05 11:04:20
法定节假日只有11天，这个早就可以调整了。我看可以适度增加到30天。11天，再怎么抠抠唧唧的安排假期也就那样。什么，你说年假？反正我没事不敢请，怕保不住饭碗。除非政府发文强制休年假。现在外贸不景气，国内社会根本不缺生产，而是缺消费。百姓自己生产的东西都没钱没时间去消费，社会戾气不断增加。你多放点假让人躺躺又怎么了？,-1,0,0,2023-12-05 09:38:42
你就说服不服吧,1,0,0,2023-12-04 23:44:06
这让一群喊着圣诞节过洋节不是中国人的这群人吧，瞬间无语住了。,0,0,3,2023-12-04 22:28:00
前段时间炒的很火的“年轻人整顿职场呢”。来整顿吧,1,0,0,2023-12-04 21:37:49
是否敌人已经深入渗透……,-1,0,0,2023-12-04 21:28:25
平时最开心的就是除夕当天贴春联，准备饺子馅儿，和面，擀皮儿，包饺子，放鞭炮。一家人坐在屋里，端着热腾腾的饺子，一起看春晚，然后再等到12点，挺钟声。现在想想就很浪漫，温馨。今年没有这样的日子了，以后又得适应一下新的环境了。火车票应该好买了吧。,0,0,1,2023-12-04 21:21:50
你们上班的公司，真的会除夕当天不放假么？一般都会提前几天放假的吧，这样开工时间不是可以晚一天么。,1,0,0,2023-12-04 13:50:10
牢骚太盛防肠断,1,0,0,2023-12-04 12:44:35
我不会关评论。这段时间有几条热搜在为春晚造势，评论区居然有很多人诋毁那些休不到除夕的人。大家或许还记得之前公告的时候，他们专门出了一篇文章说这件事有很多亮点。看他们狡辩的样子，真的太可笑了。反正自己不珍惜，还不如让别国偷走算了。过什么过，都毁灭吧,-1,0,0,2023-12-04 12:04:26
强烈反对！！！,-1,0,0,2023-12-04 08:43:43
利好韩国人。韩国人: 我寻思这也妹人要啊。,1,0,2,2023-12-03 22:32:43
经济基础决定上层建筑，上层建筑反作用于经济基础，二者相互影响，相互作用。调休政策的制定与经济发展需求息息相关。随着人们对生活质量的要求越来越高，越来越多的人注重休闲娱乐。调休政策通过调出较长时间的假期，可以激发人们的消费需求，促进旅游业和文化事业的发展，使得整个社会活力更加充沛。,-1,0,0,2023-12-03 21:10:33
遥遥领先,1,0,0,2023-12-03 12:44:31
今年不用争要去婆家还是娘家吃年夜饭了吧。,0,0,0,2023-12-03 01:54:31
都上班算了，反正也不让放炮，越来越没有年味！都是你们说了算就行了,1,0,0,2023-12-02 22:01:21
往年的时候我单位都是早早放假了，小民企，放假也没工资，还是只有法定节假日的工资，所以对我们来说没什么影响。我所接触的民企也都是早早放假了，很少有坚持到最后一天的。大概就是坚持到最后一天的影响比较大。,0,0,0,2023-12-02 21:40:07
沟槽的,-1,0,0,2023-12-01 12:41:36
其实，我觉得根本就不用过度担心，说是不放假，三十下午没什么事大家也都不来了，或者点个卯，最晚下午4点肯定都回家了，不耽误做年夜饭。,-1,2,0,2023-12-01 10:35:00
相信党，相信政府的安排他们考虑的肯定比咱们多。,1,0,1,2023-12-01 09:24:17
新冠病毒默默的对专家竖起大拇指:还得是你,0,0,0,2023-11-30 20:07:15
除夕实际上可以不放假，但是法理上不能不放假。,1,0,0,2023-11-30 18:19:08
我不是很理解这一波操作……本身春节法定就3天，多余的都是自己调休或者企业福利或者年假啥的，这一波调整假期，在我看来就是把假期往后挪了一天，实际上假期并没有变长。然后压力就给到了企业老板：你不提前放假，就是反人类；提前放假了吧，又是牺牲企业的利益。(我到也不是给资本家说话，也不指望公司能多给福利，只是说把应得的落实就够了)矛盾转移给了老板，好一手移花接木PS：真的不理解，十几年都这么过来了，往后挪个假期的意义在哪里,1,0,0,2023-11-30 17:56:49
