#五月天假唱鉴定#,Query time: 2023-12-17 22:49:01
要听绝对真唱，各种音乐软件都有啊，看演唱会不就图个气氛吗，表演、唱歌，肯定都要有的啊。希望明年抢票的人少点。 ,12月02日 23:59
不是专业人士，快20年老粉，对这个真的无所谓。我们去看演唱会主要是为了自己唱，大合唱。在一首首歌里释放自己的情绪，他就是拿个指挥棒在台上一句不唱，我也会买票去的了。他这十几年带给我的精神力量早就超越这些了。陈信宏，你健康快乐就行了，再多写点好歌词。 ,12月02日 23:59
歌手可以假唱观众可以用假票进场吗 ,12月02日 23:59
连续5.6场的那种演唱会，一场20.30几首歌，有5首假唱或垫音开大是我能理解的程度，不过 我不会去连续一周开好几场中间休息2.3天这种人或乐团的演唱会，我认为歌手大型演唱会的强度一个礼拜一场或者一个月连续2天2场总共4场的强度 看现场感受更好 ,12月02日 23:59
我不懂靠音频是怎么说明真假的?不允许别人稳定发挥吗？歌手不是经常有行走的cd这种说法? ,12月02日 23:59
这是什么情况？！ ,12月02日 23:59
啊 啊 啊why ,12月02日 23:59
无法接受,12月02日 23:59
正好别跟我抢票了 ,12月02日 23:58
假唱还洗白？这是真粉还是黑粉,12月02日 23:58
啊？ ,12月02日 23:58
我可以接受破音跑调唱跳舞台开垫音半开麦，但我不接受假唱，假唱是骗人，是人品问题，不光是唱功问题了，只说个人感受，不针对五月天 ,12月02日 23:58
粉丝洗白的话术换一换吧，抢票的是你们粉丝，你们粉丝都不相信他们假唱，就别拿抢票说事了，路人真的没人会抢,12月02日 23:58
不妨碍我喜欢 ,12月02日 23:58
好好好 那你们到时候别跟我抢票哈 真五迷期待明年的巡演 ,12月02日 23:58
没有吧 ,12月02日 23:58
哇哦 现在的风气真的是——“爱豆只要有星味就够了 唱跳实力不重要”——“演唱会氛围好就够了 真不真唱怎么了 我真唱就得了”这个社会是对普通人很宽容吗 才给了普通人这么多宽容去原谅这些站在高台上吸金的人拜托 他们已经不费吹灰之力享受了很多普通人穷极一生才能得到的东西 哇哦 现在的风气真的是——“爱豆只要有星味就够了 唱跳实力不重要”——“演唱会氛围好就够了 真不真唱怎么了 我真唱就得了”这个社会是对普通人很宽容吗 才给了普通人这么多宽容去原谅这些站在高台上吸金的人拜托 他们已经不费吹灰之力享受了很多普通人穷极一生才能得到的东西了把多余的共情能力向下分享给一些活着都已经很困难的人吧,12月02日 23:58
还好一直都不喜欢 也没看过🙅🙅🙅 ,12月02日 23:58
一点都不意外，上海连开8场，要是真唱嗓子都要废了好吗,12月02日 23:58
看我分析就行，我是老粉没什么好洗的，三年前我就说我团演唱会怎么开始有假唱的曲目了，我那时候就很担心会上热搜了，果不其然现在开始被爆破了。但我还是得分析一下这个假唱的前因后果。1.阿信确实唱功不行，年纪大了机能下降，不能像以前30岁一样小巨蛋全开连蹦9场了。2.为什么 看我分析就行，我是老粉没什么好洗的，三年前我就说我团演唱会怎么开始有假唱的曲目了，我那时候就很担心会上热搜了，果不其然现在开始被爆破了。但我还是得分析一下这个假唱的前因后果。1.阿信确实唱功不行，年纪大了机能下降，不能像以前30岁一样小巨蛋全开连蹦9场了。2.为什么嗓子不行的情况下还要开那么多场？因为要恰米。疫情三年相信音乐亏麻了，还要养手下那帮音乐人，然后老年团自己又不肯上综艺恰钱，唯一赚钱就是靠开演唱会了。要把之前亏损的赚回来，不然公司要塌，所以选择什么上海八万人连开8场9场这样的，一个月内满世界跑，嗓子早就烂了。3.为什么不降key，因为为了音乐的美感不能降。最后，演唱会假唱是事实，没什么好洗的，但是什么事情都不是非黑即白的，理性看待。,12月02日 23:58
怎么会假唱呢？这么有名气的乐团。 ,12月02日 23:58
？耳机里正放着呢 ,12月02日 23:58
看看我们张学友，哈哈哈 ,12月02日 23:58
不会吧，他们也不至于假唱啊现场看着也蛮嗨的嘞 ,12月02日 23:58
他要是不想唱可以像伍佰那样，直接让观众唱给他听，我不相信他会假唱！ ,12月02日 23:58
五月天到底是谁啊布吉岛 ,12月02日 23:58
看到热搜吓死了  特地跑去翻库存嘻嘻嘻还好我看的成都场是真唱今年虽然没有王+2但也看了五月天许愿明年看JJ,12月02日 23:58
亲爱的们，，，嘴里说失望下一秒就开抢演唱会门票，，，，网上发大陆💰这么好赚吗下一秒朋友圈转头发听嗨了，，，，你们都他吗假的吧,12月02日 23:58
昨天近距离刚看完，肯定百分百真唱了，我都听得到他呼吸声 ,12月02日 23:58
行了 天天鉴定这个鉴定那个 好闲 ,12月02日 23:58
什么啊 大晚上的 我真的要死了要不要我活啊一天天的我明年的生存希望在哪里啊啊啊啊啊啊啊我真的要发大疯 ,12月02日 23:58
我 如果对自己妥协如果对自己说谎即使别人原谅我也不能原谅 ,12月02日 23:58
都看过几场啊长张嘴就会叭叭叭叭叭叭,12月02日 23:58
我建议这个热搜明年巡演开始之前再上一次 这样就能筛掉一大堆路人粉,12月02日 23:58
反正我在武汉现场听的都是真唱 而且氛围也很好 下次还去 别跟我抢票 不然还得找黄牛多花钱,12月02日 23:58
笑死我了一种🦶7味儿“嗯嗯嗯我老公不好那你别惦记我老公我独享我老公的偏爱”骗骗姐们儿可以别把自己给骗了 ,12月02日 23:58
？啥 ,12月02日 23:58
哦，gun，爱看不看，不看给我看[丰收了][丰收了] ,12月02日 23:58
还不如几个人一起呢 ,12月02日 23:58
真没想到会有那么多人来踩五月天,12月02日 23:58
他们拿出百分之一百的热情和演出效果，去回应3年多的好久不见，出这种词条我真的是觉得有病。下次是不是要说其他几个人假弹假敲鼓啊！ ,12月02日 23:58
这是为什么？？？ ,12月02日 23:58
如图所示,12月02日 23:57
？闲 ,12月02日 23:57
vocal,12月02日 23:57
恩？ ,12月02日 23:57
没有吧 深圳场氛围很好啊 ,12月02日 23:57
还抢了票结果没抢到，如果花了钱去听假唱真的很无语！演唱会还假唱太没底线了！ ,12月02日 23:57
就…以后要不考虑改开巡回茶话会吧 能继续赚钱又不犯法 ,12月02日 23:57
看到这个热搜还以为梁欢回来了 ,12月02日 23:57
好好好下次不许和我抢票了 ,12月02日 23:57
双标不要太离谱，假唱被骂不冤枉， ,12月02日 23:57
唱功尽力就好，场次量力而行。12首有6首假唱，不可以！ ,12月02日 23:57
啧啧啧 ,12月02日 23:57
都忘了阿信在演唱会上唱到吸氧了吗？玛莎还吐槽以为在上海只开两场，没想到公司安排了八场～在出票前我就想，这么密集的演出就不担心会出啥幺蛾子么，果然演唱会前几场还大降温～观看演出的同时是不是也可以体恤一下艺人～ ,12月02日 23:57
私密马赛现场真的很嗨 ,12月02日 23:57
有些真相注定是要小心翼翼深埋心底的，因为答案揭晓的那一刻，也是灰飞烟灭的开始。 ,12月02日 23:57
请爱惜自己的羽翼 去看的都是喜欢你的人 从没想到“五月天”能和“假唱”联系在一起  唱不了就别连开那么多场 ,12月02日 23:57
啊这 这是什么情况,12月02日 23:57
心情复杂，不忘初心真的是件很难的事情吧… 如果五月天都假唱…… ,12月02日 23:57
啊？真的假的？不至于吧,12月02日 23:57
我勒个豆,12月02日 23:57
为什么今年这么多不是歌迷没咋听过他们歌的去抢票看演唱会啊,12月02日 23:57
粉丝们开心不就行了，我们没花钱，不配说,12月02日 23:57
我看看谁在说，下次别抢票了哈 ,12月02日 23:57
....老哥哥你怎么还在线啊 别看了......... ,12月02日 23:57
开演唱会假唱？应该不太会吧 ,12月02日 23:57
花一千多听人假唱还在那“没事你别买票让我去”的可真可怜 ,12月02日 23:57
啊 为什么 ,12月02日 23:57
我还是不太相信五月天会假唱…… 你可以说他忘词，跑调，打车，打鼓，但就是不能说他假唱！！,12月02日 23:56
说是假唱的，拜托明年不要跟我抢票了谢谢 ,12月02日 23:56
尊嘟假嘟 ,12月02日 23:56
不会吧 ,12月02日 23:56
本命年红内裤穿起来好嘛遇到的都是些什么事情倒霉成这样 ,12月02日 23:56
我去真的假的，之前还想去看演唱会呢没抢到 ,12月02日 23:56
你知道你在污蔑谁吗。。。。。 ,12月02日 23:56
啊？这也假唱？ ,12月02日 23:56
演唱会假唱，是不是违反国家规定了 ,12月02日 23:56
嗯嗯嗯嗯 好嘟 这下抢票的少了  明年还去看五月天啊哈哈哈哈哈哈哈哈哈哈哈哈哈,12月02日 23:56
如果太累了可以少开几场  但是假唱的话就有点糊弄粉丝了,12月02日 23:56
是真有病啊 们老叔二十五年了什么奖都拿遍拿到手软 需要这些来认定吗 好好笑😆 ,12月02日 23:56
啊？五月天？假唱？？？ ,12月02日 23:56
嗯嗯  少开点吧  做个人吧,12月02日 23:56
哎呦我去，真的假的，这不纯纯是欺骗消费者感情 ,12月02日 23:56
所以是真的假唱啦， 不好评价，不过演唱会粉丝花钱了首先看的是气氛，其次也是想听歌手唱歌，如果唱歌现场确实不能很完美，是不是假唱也能接受了 ,12月02日 23:56
那把票让给我吧,12月02日 23:56
什么？演唱会还能这么整活儿,12月02日 23:56
呃呃呃卖票这么贵真假混唱啊，演唱会诶,12月02日 23:56
啊 怎么回事 为什么啊 ,12月02日 23:56
个人演唱会还徦唱？ ,12月02日 23:56
开演唱会假唱 应该不会吧,12月02日 23:56
尊嘟假嘟,12月02日 23:56
啊这 ,12月02日 23:56
不喜欢不看 喜欢多买单 这么简单的道理 明年别和我抢票啊,12月02日 23:56
真的假的？开演唱会还假唱那还开什么，粉丝的钱不是大风刮来的呀，五月天已经沦落到这个地步了？,12月02日 23:56
之前我就怀疑连开的演唱会会有假唱。。。 ,12月02日 23:56
百度“12318全国文化市场统一举报平台”，点击我要举报投诉，选择举报文化市场违法违规活动—营业性演出活动，举报描述如下：五月天及其五月天「好好好想见到你」上海演唱会主办方上海蕴华文化发展有限公司违反营业性演出管理条例第二十八条，营业性演出管理条例实施细则第二十六条规 百度“12318全国文化市场统一举报平台”，点击我要举报投诉，选择举报文化市场违法违规活动—营业性演出活动，举报描述如下：五月天及其五月天「好好好想见到你」上海演唱会主办方上海蕴华文化发展有限公司违反营业性演出管理条例第二十八条，营业性演出管理条例实施细则第二十六条规定，在演唱会现场以假唱欺骗观众，主办方为假唱提供相应条件。,12月02日 23:56
反正花钱去看的也不是某些人 ,12月02日 23:56
有点不懂 到底为什么要假唱啊,12月02日 23:56
好好好看来明年能抢到票啦,12月02日 23:56
？搞什么 ,12月02日 23:55
哈哈哈哈哈管他真唱假唱，反正我在看台唱嗨了蹦嗨了我开心就行啊哈哈哈哈哈哈哈哈哈,12月02日 23:55
什么什么 ,12月02日 23:55
真的假的啊 ,12月02日 23:55
真的假的啊？ ,12月02日 23:55
一眼假 ,12月02日 23:55
什么😧？！,12月02日 23:55
真的假的搞假唱。。不敢相信我的天,12月02日 23:55
好好好既然假唱都别跟着抢票都别去看,12月02日 23:55
没必要假唱，反正阿信经常跑调，但是五月天的歌是好听的，KTV每次都点那么两首。演唱会还是蛮赚钱的，尤其巡回的。 ,12月02日 23:55
唉。。 ,12月02日 23:55
所以明年票别和我抢了行么 ,12月02日 23:55
真的假的？？不会吧 ,12月02日 23:55
有时觉得晚会什么的假唱还是可以理解的，可能是设备原因，主办方要求，电视台要求，或者合唱对象水平有限等等，为了整体观感嘛～但是自己的演唱会假唱是不是太过分了，那么贵的票（还得抢，还得买黄牛），每位歌迷都是冲着你来的，如果状态不好，你垫音都行，纯假唱真的不行✋无论你是 有时觉得晚会什么的假唱还是可以理解的，可能是设备原因，主办方要求，电视台要求，或者合唱对象水平有限等等，为了整体观感嘛～但是自己的演唱会假唱是不是太过分了，那么贵的票（还得抢，还得买黄牛），每位歌迷都是冲着你来的，如果状态不好，你垫音都行，纯假唱真的不行✋无论你是天王天后天团，都不行～,12月02日 23:55
啊这 不可能 五月天多强啊 为什么要假唱啊！ ,12月02日 23:55
什么瓜谁给我讲讲 ,12月02日 23:55
有一说一假唱的就假唱呗，反正我又没去现场，我又没吃亏，只要人家粉丝愿意就行了呗，屁事管的宽,12月02日 23:55
看了b站鉴定 挺难评，超出认知,12月02日 23:55
…想知道，这样的话…歌迷还会继续去听他们的演唱会吗 ,12月02日 23:55
温柔真唱了就行 我最爱这首 ,12月02日 23:55
所以明年能不能让我抢到票,12月02日 23:55
好像是有些跑音 但有的歌是真的好听 你不是真正的快乐那首好好听 ,12月02日 23:54
为什么要假唱啊 ,12月02日 23:54
真的假的？？国家法律规定不允许吧……可怜的消费者 ,12月02日 23:54
从小听到大的歌手们，我都希望你们能保持初衷，保持赤诚之心。是真的希望你们好好的，和喜欢你们的小粉丝们双向奔赴。 ,12月02日 23:54
现场唱歌，加上氛围环境，唱歌一般气息调调肯定是不一样的。虽然不是专业的，听还是听过一些现场。现场其实氛围到了，调调说心里话，不是在意的，关键是氛围感 ,12月02日 23:54
心情复杂，不忘初心真的是件很难的事情吧… ,12月02日 23:54
这是啥意思啊？不相信 ,12月02日 23:54
嗯 来广东就不要和我抢票了昂,12月02日 23:54
不敢相信，搞乐队的还假唱而且演唱会有必要吗唱不出来让观众唱不就完事了,12月02日 23:54
哦 那你们别抢让我去,12月02日 23:54
不是很懂真的有人愿意花钱听假唱吗? ,12月02日 23:54
我靠呢 为什么啊 对你们有什么好处,12月02日 23:54
？？？？什么东西 ,12月02日 23:54
真的假的 ,12月02日 23:54
这真的吗三比们快来说句话,12月02日 23:54
真的假的 不会吧 ,12月02日 23:54
这种时候我还是很相信软件的。 ,12月02日 23:54
行行行 你们以后千万别跟我抢票啊都留给我去看 我幸福死 ,12月02日 23:54
明年我去👂一下审判审判…… ,12月02日 23:54
还有这种操作？自己的演唱会哎 ,12月02日 23:54
今年放开了，冲kpi呢你要么就少开几场 认认真真的唱 要么你别圈钱搞真假混唱！ 喜欢了这么多年……… ,12月02日 23:54
好奇一个问题，假唱鉴定有专门的机构或平台吗？ ,12月02日 23:54
做为消费者，我感觉到被欺骗～ ,12月02日 23:54
额假唱不是违法的吗 ,12月02日 23:54
噗，还有人说什么别和你抢票，五月天几年前票都卖不出的，dy营销个青春骗得一群傻子冤大头，主办方和黄牛合作，现场都是空座，还吹什么 ,12月02日 23:54
建议粉丝去撕，要是真的就去投诉，反正我不抢票,12月02日 23:53
看演唱会就是看个气氛看个氛围，五月天的现场的确是我看到现在最嗨的一场 ,12月02日 23:53
真的假的 应该不会吧 ,12月02日 23:53
别烦了会去看的肯定不是在网上唧唧歪歪的 我是要听阿信唱吗 我是想自己唱 并不管他死活 ,12月02日 23:53
可以质疑鉴定假唱视频，但是不要说假唱我也愿意买单这种话。演唱会不真唱行为值得鄙视。（本人粉丝勿喷，喷就是你对 ,12月02日 23:53
不懂就问个演为什么要假唱啊年纪大了体力跟不上？ ,12月02日 23:53
所以是真唱假唱啊？,12月02日 23:53
这是啥热搜，说他们假唱的到底有没有买票进场看过？但凡看过他们演唱会的，都不会有这个质疑！从2011年开始他们的第一场演唱会，从2012年开始鸟巢第一场演唱会，到今年每一年的鸟巢我从未缺席过，我可以确定的说，今年的鸟巢、武汉、南京场都没有假唱 ,12月02日 23:53
不能吧,12月02日 23:53
啊？还有这种事情？不过我没有听过现场,12月02日 23:53
对对对求你们都别去看了，明年我要抢内场 ,12月02日 23:53
这晚上的hot都挺让人震惊的哈,12月02日 23:53
路人，但是个别几首半开麦可以理解，梁静茹真唱了然后某一场燕尾蝶有失误被全网嘲，后面场次的演唱会状态回来了营销号依然拿失误的现场出来黑，所以为了演唱会整体效果完全可以理解，真唱出瑕疵了营销号会揪着不放路人甲也会落井下石 ,12月02日 23:53
怎么会这样子捏,12月02日 23:53
说要去听，还没听就假唱了,12月02日 23:53
真的假的呀？我还去看了上海,12月02日 23:53
这又是啥瓜,12月02日 23:53
一半假唱，是不是应该退一半的钱给观众？这种欺骗性消费行为市监部门管吗？ ,12月02日 23:53
谁说我家哥哥假唱的，只是歌先唱后唱的区别，是调唱，之前唱过的歌调到后面来唱了,12月02日 23:53
说难听点，这种一半真唱，一半假唱的，不就是属于那种当bz还立牌坊吗？还有那种说真么高强度演唱会，假唱一点怎么了，真为乐坛感到悲哀.还有那种明年就没人跟我抢票的流氓说法.这个世界是怎么了. ,12月02日 23:53
？？,12月02日 23:53
啊？ ,12月02日 23:53
啊 什么意思？五月天？假唱？ ,12月02日 23:53
真的假的 这样子对买票去现场的粉丝有点不公平了吧 ,12月02日 23:53
希望明年票好抢一点 ,12月02日 23:53
我勒豆 我妈喜欢五月天 我还想明年带我妈去看他们的演唱会呢 整这出 ,12月02日 23:53
歌坛有自己的预制菜,12月02日 23:53
要爱惜羽毛啊  虽然不会买票去现场   这就是诈骗啊   为了好的演出效果或许可以少唱两首  最起码要真诚 ,12月02日 23:53
噢噢还是喜欢 ,12月02日 23:53
假唱是不是wf来着？建议好好侦查此事件！,12月02日 23:53
那又咋样,12月02日 23:52
上海连开好多场的消息一出我就不打算再去抢五月天的票了，因为可以预见连开这么多场根本不可能有好的状态，疫情结束来内地摆着抢钱 ,12月02日 23:52
明年千万不要跟我抢票！今年陪跑了好多场,12月02日 23:52
一半假唱……真行 ,12月02日 23:52
真假混唱算了，看在劳模的份上溺爱一下 ,12月02日 23:52
这是什么情况啊，尊嘟假嘟，不敢相信 ,12月02日 23:52
这个只有粉丝能发表意见，毕竟外人也不看 ,12月02日 23:52
演唱会也假唱，果然是粉丝宠出来的 ,12月02日 23:52
都别看了 没人和我抢了,12月02日 23:52
演唱会怎么可能假唱嘞不会的吧,12月02日 23:52
又不是拼盘 你特么个人演唱会还假唱…… ,12月02日 23:52
不妨碍我喜欢 ,12月02日 23:52
额别的场不知道，但我觉得北京场应该没有假唱，毕竟最先开的，而且唱成那个鬼样子五月天现场氛围超级棒，这一点没话说，但说实话真的唱的一般，虽然没有到稀烂的地步，但也不能细品。 ,12月02日 23:52
终于有人说这事了,12月02日 23:52
假唱违法…为啥还这么多人洗……常识还需要科普… ,12月02日 23:52
啊？真的假的？？是不是和韩娱一样半开麦？,12月02日 23:52
特别搞笑的一条,12月02日 23:52
真假混唱,12月02日 23:52
去现场不是为了听录音,12月02日 23:52
那可是五月天 ,12月02日 23:52
哈哈哈哈哈没关系以后🎫留给我就好那就,12月02日 23:51
我可以接受破音跑调唱跳舞台开垫音半开麦，但我不接受假唱，假唱是骗人，是人品问题，不光是唱功问题了，只说个人感受，不针对五月天 ,12月02日 23:51
对都是假唱 请避雷 把明年的门票留给我,12月02日 23:51
希望经此一役，把五月天的价格打下来，顺便让我抢票容易一点谢谢,12月02日 23:51
这破热搜点进来一堆ai机器人 广场活人都没几个 没事吧yxh 年底冲kpi呢？ ,12月02日 23:51
不可能不信,12月02日 23:51
人傻钱多速来,12月02日 23:51
这个rs怎么又上来了,12月02日 23:51
演唱会怎么可能假唱嘞不会的吧,12月02日 23:51
卧槽！？？！？五月天假唱！！？？！！ ,12月02日 23:51
嗯嗯你们别去了让我去,12月02日 23:51
那你们以后别去了 让我去行不行 ,12月02日 23:51
不可能下次让我拿到票我乐意听,12月02日 23:51
歌手开演唱会假唱，不就跟厨师不做菜去加热预制菜一样吗看不懂了演员不需要演技，歌手不需要真唱现在职业要求这么低啦我上班工作摸鱼归摸鱼，该做的东西还是要做的啊，208就是不一样 ,12月02日 23:51
？！omg！真的假的,12月02日 23:51
别蹭了😅棍远点 ,12月02日 23:51
那就说好不要和我这个大怨种抢票哦,12月02日 23:51
演唱会怎么假唱放录好的音频对嘴型吗 长见识了 ,12月02日 23:51
演唱会可能假唱吗我不懂诶 有没有解释一下,12月02日 23:51
谁信呀,12月02日 23:51
vocal。。。还没有去听过呢,12月02日 23:50
叫不醒装睡的人,12月02日 23:50
空口白凭说别人假唱，那些说的人建议不要抢票，一年了陪跑12次，我也想去看，就那怕他不唱我也开心,12月02日 23:50
在粉丝那儿，不用问是非，只要看恨爱，你一认真就输了，因为他们，就是花钱找个乐子！,12月02日 23:50
对不起我不信，那你别和我抢票,12月02日 23:50
什么！？？五月天假唱？！！ ,12月02日 23:50
至少点歌环节一定是真唱的，一场演唱会唱将近三个小时，偶尔嗓子不舒服时，假唱一两首其实我个人可以接受毕竟演唱会听的大部分是大合唱 ,12月02日 23:50
我花钱去看了，我在乎是不是假唱。捂嘴的粉丝真一粉顶十黑 ,12月02日 23:50
幸好没看,12月02日 23:50
？？？ ,12月02日 23:50
粉丝：就是音响放能咋滴，我们愿意 ,12月02日 23:50
假唱真的没意思，你们明年千万不要抢票了哦 ,12月02日 23:50
…闲的。。。。 ,12月02日 23:50
五月天演唱会这样是假唱吗？我去看演唱会，是去看我的青春，就算他不唱，只站舞台看，我都愿意！,12月02日 23:50
难听其实我也很愿意去听 假唱真的有点让人难过,12月02日 23:50
我真服了！怎么可能假唱！虽然跑调有可能但是不至于假唱，既然不愿意看，那就留给我们去看好了！！！一直喜欢五月天！！！,12月02日 23:50
啊？？尊嘟假嘟 ,12月02日 23:50
我一开始还以为是五月天鉴定假唱怎么是被别人监定了？蹲一个真相好吧，确实有点蒙圈了,12月02日 23:50
五月天都有人质疑了。。。。那你们都别跟我抢票了 ,12月02日 23:50
居然假唱 ,12月02日 23:50
演唱会怎么可能假唱，太离谱了吧,12月02日 23:50
少开几场  别这么频繁 缓缓嗓子呢 ,12月02日 23:50
五月天《突然好想你》重庆大雨封神现场这首歌的现场大合唱历来都是经典场景，在大雨的加持下显得格外有意境，满满的宿命感！,12月02日 23:50
什么情况这事？那可是五月天啊 ,12月02日 23:50
其实可以发个预备唱，然后我们唱,12月02日 23:50
啊啊啊啊啊啊这是可以的吗 演唱会假唱,12月02日 23:50
尊嘟假嘟….不会吧,12月02日 23:49
不管是谁演唱会假唱真心是恶心了好像韭菜的钱都是很好赚的 ,12月02日 23:49
喜欢就买单 多简单的事 有这时间不如管理管理内娱的蛀虫,12月02日 23:49
上海连开那么多天，圈💰行为明显，假唱不足为其。粉丝洗的话术比所谓的流量粉恶心多了,12月02日 23:49
拜托了我的诉求就是退钱，这对我来说真的很重要🙏 ,12月02日 23:49
对，都是假唱，以后演唱会千万别去了，浪费钱呀，耶耶耶...........啊萨！我可以抢到票了 ,12月02日 23:49
那倒是让我抢张票啊！！！ ,12月02日 23:49
啊,12月02日 23:49
那大家都别看了，五个年过半百的大男人有啥好看的 ,12月02日 23:49
啊啊？？演唱会假唱啊 前几天还跟朋友说想一起去看来着... ,12月02日 23:49
无所谓我会溺爱 ,12月02日 23:49
好好好 ,12月02日 23:49
粉丝别太自信了 谁跟你们抢票去听假唱,12月02日 23:49
不会吧……. ,12月02日 23:49
如果是真的你真的对不起的是你自己，活生生堵死自己的路，别拿自己口碑豁豁 ,12月02日 23:49
我们歌迷有自己的耳朵，有自己内心的评判随便一个网络博主带着一堆网络歌迷按头假唱也不看看b站什么地方，乱的要死 ,12月02日 23:49
嗯？ ,12月02日 23:49
真的假的啊 ，演唱会假唱是不是犯法啊我还挺喜欢他们的歌的 ,12月02日 23:49
求成都场的鉴定，假唱真的就要被钉死在耻辱柱上 ,12月02日 23:49
所以谁给我一张票  抢了几次了一次都没抢到。。。 ,12月02日 23:49
难过好几天,12月02日 23:49
那明年演唱会的票，你们都不许和我抢了哟,12月02日 23:49
不是吧。。。我还没有听过现场版的干杯💧😭 ,12月02日 23:49
尊嘟假嘟 是实锤了吗 ,12月02日 23:49
演唱会假唱就有点离谱了… ,12月02日 23:48
好好好是假唱明年你们都别跟我抢票,12月02日 23:48
真的假的，我很喜欢五月天的 ,12月02日 23:48
有的调会有唱不上去的 也有破音的 但不会假唱,12月02日 23:48
想起有个认识的学长很喜欢他们，去过两次演唱会来着 ,12月02日 23:48
刚把五月天伦敦鉴假看完真真假假的 五月天自己还分得清了吗 我的青春里没有他们 对我没什么伤害 但对那些歌迷呢 你们太狠了 ,12月02日 23:48
演唱会真的假唱呢？？？其实现在他们唱歌什么样粉丝都知道啊演唱会不就是氛围吗？走调破音都不是事儿…… ,12月02日 23:48
安 不是吧我说,12月02日 23:48
啊？真的假的 ,12月02日 23:48
去死吧去死吧md别抢🎫了明年真没有了你们就该死,12月02日 23:48
还好我没看过 ,12月02日 23:48
无法理解，演唱会假唱... ,12月02日 23:48
五月天怎么可能假唱啊，还需要鉴定吗，我去听过现场，都是真唱好吧 ,12月02日 23:48
还好我唯爱老叔叔 今年听的演唱会张学友最好,12月02日 23:48
介意的人请把票给我让我去听 谢谢☺️ ,12月02日 23:48
无所谓，内娱很“包容”的,12月02日 23:48
嗯对对 假唱嗯嗯 你们以后别和我抢票 让我一个人去看唱那么多场垫个音什么的也很正常吧。。五月天演唱会现场真的嗨到爆好吗 直接万人蹦迪 ,12月02日 23:48
这个话题火了我才知道原来演唱会假唱违法,12月02日 23:48
啊？？？？？,12月02日 23:48
在审判的是一批人，跟我抢票的又是一批人，中间再夹杂几个“十几年粉丝”说好难受为什么要这样balabala。 ,12月02日 23:48
我还没听过现场版的干杯 ,12月02日 23:48
人伍佰老师声嘶力竭都真唱呢，人也是KTV，别洗了，怪难看的。 ,12月02日 23:48
别这样啊别这样啊 ,12月02日 23:48
对对对假唱的求求大家明年都别抢票了啊,12月02日 23:48
为什么会这样？,12月02日 23:47
其实我能理解老了可能无法做到每首都能发挥。但是演唱会是盈利性质的。。假唱是犯法的而且算欺骗观众你可以给粉丝递麦，可以中场休息弄个说话互动。能做的事情有很多，真诚换真诚。（这么想只是梁静茹演唱会很让人respect了，人家状态不好，也好歹真唱）但是别做这样寒心的事情。 其实我能理解老了可能无法做到每首都能发挥。但是演唱会是盈利性质的。。假唱是犯法的而且算欺骗观众你可以给粉丝递麦，可以中场休息弄个说话互动。能做的事情有很多，真诚换真诚。（这么想只是梁静茹演唱会很让人respect了，人家状态不好，也好歹真唱）但是别做这样寒心的事情。期待一个真心的回应。别让粉丝不好在网络上做人,12月02日 23:47
啊？不能吧... ,12月02日 23:47
你觉得是假唱吗？,12月02日 23:47
